"cohort"	"analysis_version"	"fold"	"n_samples"	"n_events"	"backend"	"mhn_version"	"lambda_candidates"	"selected_lambda"	"selected_lambda_multiplier"	"cv_folds"	"pick_1se"	"optimizer_status"	"finite_theta"	"theta_shape"	"seed"	"device"	"penalty"	"max_iterations"	"relative_tolerance"	"lambda_at_grid_boundary"	"source_file"
"AACR_LUAD"	"E3_LEGACY"	"ALL"	"27148"	"15"	"official_mhn_cMHN"	"1.2.3"	"0.1+0.316227766+1+3.16227766+10 (initial; boundary expansion enabled)"	"0.00011648289597760424"	"3.16227766"	"5"	"True"	"0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"	"True"	"15x15"	"20260624"	"CPU"	"L1"	"5000"	"1e-7"	"see historical cv_likelihood.tsv"	"legacy_workspace/results/experiment_03_mhn_interface/AACR_LUAD/model_metadata.json"
"AACR_COAD"	"E3_LEGACY"	"ALL"	"12693"	"15"	"official_mhn_cMHN"	"1.2.3"	"0.1+0.316227766+1+3.16227766+10 (initial; boundary expansion enabled)"	"0.0007878358149742013"	"9.999999999467537"	"5"	"True"	"0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"	"True"	"15x15"	"20260624"	"CPU"	"L1"	"5000"	"1e-7"	"see historical cv_likelihood.tsv"	"legacy_workspace/results/experiment_03_mhn_interface/AACR_COAD/model_metadata.json"
"AACR_IDC"	"E3_LEGACY"	"ALL"	"10964"	"15"	"official_mhn_cMHN"	"1.2.3"	"0.1+0.316227766+1+3.16227766+10 (initial; boundary expansion enabled)"	"0.0009120758846650435"	"9.999999999467537"	"5"	"True"	"0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"	"True"	"15x15"	"20260624"	"CPU"	"L1"	"5000"	"1e-7"	"see historical cv_likelihood.tsv"	"legacy_workspace/results/experiment_03_mhn_interface/AACR_IDC/model_metadata.json"
"GLASS"	"E17_CURRENT_OOF_CMHN"	"0"	"555"	"8"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.005405405405405406"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"8x8"	"20260827"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\GLASS\tables\crossfit_audit.tsv"
"GLASS"	"E17_CURRENT_OOF_CMHN"	"1"	"553"	"8"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.0054249547920434"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"8x8"	"20260828"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\GLASS\tables\crossfit_audit.tsv"
"GLASS"	"E17_CURRENT_OOF_CMHN"	"2"	"549"	"8"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.00546448087431694"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"8x8"	"20260829"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\GLASS\tables\crossfit_audit.tsv"
"GLASS"	"E17_CURRENT_OOF_CMHN"	"3"	"560"	"8"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.005357142857142857"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"8x8"	"20260830"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\GLASS\tables\crossfit_audit.tsv"
"GLASS"	"E17_CURRENT_OOF_CMHN"	"4"	"555"	"8"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.005405405405405406"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"8x8"	"20260831"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\GLASS\tables\crossfit_audit.tsv"
"CRC-triplets"	"E17_CURRENT_OOF_CMHN"	"0"	"110"	"12"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.02727272727272727"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"12x12"	"20260827"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\CRC-triplets\tables\crossfit_audit.tsv"
"CRC-triplets"	"E17_CURRENT_OOF_CMHN"	"1"	"110"	"12"	"official_mhn_cMHN"	"1.2.3"	"0.3+1.0+3.0"	"0.02727272727272727"	"3.0"	"3"	"True"	"fit_completed; optimizer status not exposed by public adapter"	"True"	"12x12"	"20260828"	"CPU"	"L1"	"1500"	"1e-06"	"True"	"outputs\phase0_reaudit_2026\E17_CURRENT_OOF_CMHN\preparation\CRC-triplets\tables\crossfit_audit.tsv"
