artifact	experiment	entry_point	parameters	numerical_outputs	artifact_sha256
Fig1_cross_sectional_foundation/Figure_E1_driver_panel_three_cohorts.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	5410da8067ff71c3f89e309916d6d4689f2ad48c2eb46640304c482f98fdd938
Fig1_cross_sectional_foundation/Figure_E1_oncoprint_COAD.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	7c2482bf34a7961b084b2e085aa151fba6e0d60223aa61e9ea922a2217a98b7f
Fig1_cross_sectional_foundation/Figure_E1_oncoprint_IDC.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	f087950a6c1122a71805fff472601adb0906116ebe4892d3e7c5405b02278198
Fig1_cross_sectional_foundation/Figure_E1_oncoprint_LUAD.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	da818fb11790be2f7ae4b21597d885165ee000d86e95b6af4043fdbb22fa71d9
Fig1_cross_sectional_foundation/Figure_E1_panel_state_space_three_cohorts.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	3dd4dc5a2034875665f1d73bb08869f2c85367ca1e2b441823d8a7912e3ea4b2
Fig1_cross_sectional_foundation/Figure_E1_sample_qc_coverage_three_cohorts.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	fe54f57af2e569f795fde9fc514e1b1f6182f85b2927d2655985c15613c6ea96
Fig1_cross_sectional_foundation/Figure_E1_state_occupancy_ecdf_three_cohorts.pdf	E1	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	event_panel_p15.csv;event_matrix_p15.csv;state_occupancy_p15.csv;panel_sensitivity_metrics.csv;sample_inclusion_summary.csv;experiment_01_metrics.csv	c11be9d6d187dd1934da1f2f93a35f2cc471220aab5285916d40dba2f76ab178
Fig1_cross_sectional_foundation/Figure_E2_state_space_sensitivity_three_cohorts.pdf	E2	sirdwell_experiments.e01_02	src/sirdwell_experiments/parameters/experiments_01_02.yaml	stage_scheme_summary.csv;stage_scheme_state_metrics.csv;state_occupancy_*.csv;stage_scheme_pairwise_agreement.csv	15121ca4f7e5ad24ddc87e41025c03ebd771e9d5db38c2465525abcc2699437d
Fig2_MHN_inflow_Rstar/Figure_E10_event_depth_Rstar_three_cohorts.pdf	E10	experiments/run_secondary.py	configs/secondary.yaml	rstar_landscape_states.tsv;rstar_landscape_summary.tsv	483ffc3cf5a84e4850b3fe3c86523ec7f5864ad02d71a6108eb2aeb92f401c92
Fig2_MHN_inflow_Rstar/Figure_E10_Rstar_distribution_three_cohorts.pdf	E10	experiments/run_secondary.py	configs/secondary.yaml	rstar_landscape_states.tsv;rstar_landscape_summary.tsv	60124bc0dd5a0343eaa73fe1571b65b5af971e3cd386983b97383224a435f08c
Fig2_MHN_inflow_Rstar/Figure_E3_cohort_supported_edges_three_cohorts.pdf	E3	sirdwell_experiments.e03	src/sirdwell_experiments/parameters/experiment_03.yaml	cv_likelihood.tsv;genotype_transition.tsv;transition_prob.tsv;theta.tsv	544aff42f1191162ef637d94665266b1543b121a0cd60e9fda22fd8224a78e00
Fig2_MHN_inflow_Rstar/Figure_E3_cv_likelihood_three_cohorts.pdf	E3	sirdwell_experiments.e03	src/sirdwell_experiments/parameters/experiment_03.yaml	cv_likelihood.tsv;genotype_transition.tsv;transition_prob.tsv;theta.tsv	41e541f07ca29c6e0903fd202d5a4bc47eaa9fbf5de22d104fd2c01c44a2933c
Fig2_MHN_inflow_Rstar/Figure_E4_dominant_inflow_edges_three_cohorts.pdf	E4	sirdwell_experiments.e04	src/sirdwell_experiments/parameters/experiment_04.yaml	inflow_table_*.tsv;predecessor_edges_*.tsv;inflow_rule_sensitivity.tsv	25383bca1070144ffe9f79db59937a0db881c40b138af48184fbc4fc19f0dd47
Fig2_MHN_inflow_Rstar/Figure_E4_occupancy_inflow_three_cohorts.pdf	E4	sirdwell_experiments.e04	src/sirdwell_experiments/parameters/experiment_04.yaml	inflow_table_*.tsv;predecessor_edges_*.tsv;inflow_rule_sensitivity.tsv	d3d103a8a44ef581b3652b73ffeff6571f9ce8cc37906c620909b092d3eede8c
Fig2_MHN_inflow_Rstar/Figure_E4_stage_bridge_sensitivity_three_cohorts.pdf	E4	sirdwell_experiments.e04	src/sirdwell_experiments/parameters/experiment_04.yaml	inflow_table_*.tsv;predecessor_edges_*.tsv;inflow_rule_sensitivity.tsv	3c3affe50bf98db77cb4d4afc10667165569a756afa8d9cf6890ea50519a8823
Fig2_MHN_inflow_Rstar/Figure_E5_high_confidence_Rstar_intervals.pdf	E5	experiments/run_cross_sectional.py	configs/cross_sectional.yaml	state_scores.tsv;bootstrap_summary.tsv	8967eb2736bf8b9211631cad9f064690e09d8c46a324e036c3b53a0f60bd005a
Fig2_MHN_inflow_Rstar/Figure_E5_occupancy_inflow_three_cohorts.pdf	E5	experiments/run_cross_sectional.py	configs/cross_sectional.yaml	state_scores.tsv;bootstrap_summary.tsv	37d1bd1e4e7e0ef6aee2475475b6b9afa05ecbd551a35d8685a5fd73478bcc42
Fig3_simulation_observation/Figure_E6_level_recovery.pdf	E6	experiments/run_simulation.py	configs/simulation.yaml	repeat_state_scores.tsv;repeat_metrics.tsv;paired_comparison_summary.tsv	be623bd6696d27120a267c54d8f9134c238bb30640abbdd9e99594fbdc41acb6
