seed	auc	delta_persistence_rate_high_minus_low	spearman_r_minimum_dwell_interval	average_precision_lift
20260820	0.555556	0.000000	0.061476	1.069616
20260821	0.555556	0.000000	0.059676	1.031403
20260822	0.555556	0.166667	0.059676	1.051979
20260823	0.555556	0.166667	0.059676	1.051979
20260824	0.388889	-0.200000	-0.118595	1.006712
20260825	0.277778	-0.250000	-0.237189	1.006712
20260826	0.500000	-0.142857	0.000000	1.006712
20260827	0.388889	-0.200000	-0.118595	1.031403
20260828	0.888889	0.333333	0.417734	1.098765
20260829	0.055556	-0.250000	-0.478947	0.934695
20260830	0.888889	0.166667	0.417734	1.111111
20260831	0.888889	0.333333	0.417734	1.098765
