study_id	filter	n	persistent	changed	base	auc	ap_lift	delta_top_bottom	risk_ratio	fisher_p	rho_dwell	rho_state	hi_pers	lo_pers
coadread_mskcc	all_evaluable	23.0	20.0	3.0	0.8695652173913043	0.8	1.1087397090246356	0.25	1.3333333333333333	0.12422360248447205	0.3602506964092129	0.35947008726569496	1.0	0.75
coadread_mskcc	monotone_no_loss	23.0	20.0	3.0	0.8695652173913043	0.8	1.1087397090246356	0.25	1.3333333333333333	0.12422360248447205	0.3602506964092129	0.35947008726569496	1.0	0.75
coadread_mskcc	no_loss_baseline_to_progressed	23.0	20.0	3.0	0.8695652173913043	0.8	1.1087397090246356	0.25	1.3333333333333333	0.12422360248447205	0.3602506964092129	0.35947008726569496	1.0	0.75
coadread_mskcc	no_loss_one_step_or_persistent	22.0	20.0	2.0	0.9090909090909091	0.8	1.0678009061586848	0.18181818181818177	1.222222222222222	0.23809523809523808	0.30853250670279087	0.30853250670279087	1.0	0.8181818181818182
coadread_mskcc	baseline_to_progressed	23.0	20.0	3.0	0.8695652173913043	0.8	1.1087397090246356	0.25	1.3333333333333333	0.12422360248447205	0.3602506964092129	0.35947008726569496	1.0	0.75
coadread_mskcc	no_loss_exact_state	23.0	20.0	3.0	0.8695652173913043	0.8	1.1087397090246356	0.25	1.3333333333333333	0.12422360248447205	0.3602506964092129	0.35947008726569496	1.0	0.75
difg_glass	all_evaluable	96.0	51.0	45.0	0.53125	0.5978213507625272	1.2445944608333295	0.17647058823529416	1.3529411764705883	0.10884004173934432	0.11764457096015418	0.10775735936709002	0.6764705882352942	0.5
difg_glass	monotone_no_loss	72.0	51.0	21.0	0.7083333333333334	0.6704014939309056	1.196319488983372	0.198005698005698	1.3028322440087146	0.08718365966708555	0.15233901175974415	0.2420327427066988	0.8518518518518519	0.6538461538461539
difg_glass	no_loss_baseline_to_progressed	70.0	50.0	20.0	0.7142857142857143	0.656	1.1854589549799148	0.1718518518518518	1.2527233115468408	0.12709711876206048	0.12835497346229877	0.22006775498507217	0.8518518518518519	0.68
difg_glass	no_loss_one_step_or_persistent	65.0	51.0	14.0	0.7846153846153846	0.7184873949579832	1.1637172689877568	0.25	1.3529411764705883	0.023961815570654462	0.1469363550960429	0.31627725337362106	0.9583333333333334	0.7083333333333334
difg_glass	baseline_to_progressed	91.0	50.0	41.0	0.5494505494505495	0.5980487804878049	1.241961263280647	0.16571969696969702	1.3119429590017826	0.13174771858246853	0.11280929625621576	0.11839909736059893	0.696969696969697	0.53125
difg_glass	no_loss_early_one_event	66.0	48.0	18.0	0.7272727272727273	0.6938657407407407	1.1967473043425991	0.21333333333333337	1.32	0.07328968221392194	0.16640876442198935	0.2785196505369668	0.88	0.6666666666666666
difg_glass	no_loss_exact_state	72.0	51.0	21.0	0.7083333333333334	0.6704014939309056	1.196319488983372	0.198005698005698	1.3028322440087146	0.08718365966708555	0.15233901175974415	0.2420327427066988	0.8518518518518519	0.6538461538461539
