state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
primary::APC+KRAS+TP53	580	0.0456944772709367	0.05071783375952916	0.8232529403046509	True	full_mhn
metastatic::APC+KRAS+TP53	389	0.0306468132041282	0.033530655816497855	0.8351674243413262	True	full_mhn
unknown::TP53	17	0.0013393208855274	0.02347240672796237	0.052138351086996194	True	full_mhn
primary::APC+KRAS+PIK3CA+TP53	155	0.0122114551327503	0.02060843805450747	0.5414428384575979	True	full_mhn
primary::APC+TP53	938	0.0738989994485149	0.016668420939906108	4.051113133320732	True	full_mhn
unknown::APC	3	0.0002363507445048	0.015155143567082434	0.014250404519255633	False	full_mhn
primary::APC+KRAS+SMAD4+TP53	117	0.0092176790356889	0.013491623821286863	0.6242918006206393	True	full_mhn
metastatic::APC+KRAS+PIK3CA+TP53	69	0.0054360671236114	0.012358833348040811	0.401918139580346	True	full_mhn
primary::APC+FBXW7+KRAS+TP53	87	0.0068541715906405	0.012005526271316338	0.5216798267167779	True	full_mhn
primary::KRAS+TP53	183	0.0144173954147955	0.011108082544231086	1.1859816900266977	True	full_mhn
metastatic::APC+KRAS+SMAD4+TP53	77	0.0060663357756243	0.00998969291561345	0.5548870377712055	True	full_mhn
primary::APC+KRAS+SOX9+TP53	59	0.0046482313085952	0.009296029988592193	0.4568992954135536	True	full_mhn
metastatic::APC+TP53	584	0.0460096115969431	0.008711448194106085	4.82601293487723	True	full_mhn
unknown::KRAS	4	0.0003151343260064	0.008506934787733718	0.033849548516360836	False	full_mhn
primary::APC+KRAS+TCF7L2+TP53	53	0.0041755298195855	0.007699625950426247	0.4955326042683872	True	full_mhn
primary::APC+PIK3CA+TP53	113	0.0089025447096825	0.007451482499059708	1.0916960789198438	True	full_mhn
metastatic::KRAS+TP53	175	0.0137871267627826	0.007185250644092382	1.7533237639859172	True	full_mhn
primary::APC+KRAS+PIK3CA	133	0.0104782163397148	0.007080496260565356	1.3522404903611025	True	full_mhn
primary::APC+FBXW7+KRAS+PIK3CA+TP53	24	0.0018908059560387	0.006564768581515378	0.26318298801004014	True	full_mhn
primary::APC+FBXW7+TP53	93	0.0073268730796502	0.006136952086876778	1.090928301590705	True	full_mhn
metastatic::APC+FBXW7+KRAS+TP53	43	0.0033876940045694	0.006119868570505126	0.505815755484337	True	full_mhn
metastatic::APC+KRAS+SOX9+TP53	35	0.0027574253525565	0.006062742451993109	0.4155898359171103	True	full_mhn
primary::APC+SMAD4+TP53	58	0.0045694477270936	0.005993017817271571	0.6967041820222638	True	full_mhn
primary::APC+KRAS+PIK3CA+SMAD4+TP53	22	0.0017332387930355	0.005736356548758961	0.2760911820027996	True	full_mhn
primary::APC+SOX9+TP53	64	0.0050421492161033	0.005586737778865474	0.8246842095065933	True	full_mhn
primary::APC+NRAS+TP53	57	0.004490664145592	0.005170098979950605	0.7936737026851056	True	full_mhn
primary::APC+ARID1A+KRAS+TP53	18	0.001418104467029	0.0048972935679930515	0.2645954423806445	True	full_mhn
metastatic::APC+KRAS+TCF7L2+TP53	32	0.0025210746080516	0.00486473093875517	0.47354051917419715	True	full_mhn
primary::APC+KRAS	215	0.0169384700228472	0.00470676356402751	3.2883805423766383	True	full_mhn
primary::TP53	409	0.0322224848341605	0.004700213313047387	6.264288234932313	True	full_mhn
primary::BRAF+TP53	129	0.0101630820137083	0.004649013597566012	1.9975372491374694	True	full_mhn
primary::APC+BRAF+TP53	56	0.0044118805640904	0.004481559507471881	0.8995490561654922	True	full_mhn
metastatic::APC+PIK3CA+TP53	49	0.0038603954935791	0.0041351719257021104	0.8530382436986538	True	full_mhn
primary::APC+ARID1A+TP53	50	0.0039391790750807	0.004086620336569442	0.8807886409509096	True	full_mhn
