replicate	top_k	top_overlap_fraction
1	10	0.3
2	10	0.4
3	10	0.3
4	10	0.4
5	10	0.3
6	10	0.3
7	10	0.3
8	10	0.2
9	10	0.4
10	10	0.4
11	10	0.4
12	10	0.3
13	10	0.2
14	10	0.3
15	10	0.3
16	10	0.1
17	10	0.4
18	10	0.3
19	10	0.4
20	10	0.3
21	10	0.3
22	10	0.3
23	10	0.2
24	10	0.3
25	10	0.4
26	10	0.4
27	10	0.1
28	10	0.4
29	10	0.2
30	10	0.3
31	10	0.2
32	10	0.3
33	10	0.3
34	10	0.4
35	10	0.4
36	10	0.2
37	10	0.3
38	10	0.3
39	10	0.3
40	10	0.2
41	10	0.2
42	10	0.4
43	10	0.3
44	10	0.3
45	10	0.4
46	10	0.2
47	10	0.2
48	10	0.3
49	10	0.3
50	10	0.4
51	10	0.3
52	10	0.3
53	10	0.3
54	10	0.3
55	10	0.2
56	10	0.4
57	10	0.1
58	10	0.1
59	10	0.1
60	10	0.2
61	10	0.2
62	10	0.3
63	10	0.4
64	10	0.4
65	10	0.2
66	10	0.2
67	10	0.4
68	10	0.3
69	10	0.3
70	10	0.2
71	10	0.2
72	10	0.3
73	10	0.3
74	10	0.4
75	10	0.2
76	10	0.2
77	10	0.2
78	10	0.3
79	10	0.2
80	10	0.3
81	10	0.3
82	10	0.5
83	10	0.2
84	10	0.3
85	10	0.3
86	10	0.3
87	10	0.3
88	10	0.5
89	10	0.1
90	10	0.2
91	10	0.4
92	10	0.2
93	10	0.3
94	10	0.3
95	10	0.2
96	10	0.3
97	10	0.2
98	10	0.2
99	10	0.2
100	10	0.2
101	10	0.4
102	10	0.3
103	10	0.3
104	10	0.1
105	10	0.3
106	10	0.4
107	10	0.2
108	10	0.2
109	10	0.3
110	10	0.3
111	10	0.4
112	10	0.3
113	10	0.2
114	10	0.4
115	10	0.3
116	10	0.4
117	10	0.3
118	10	0.3
119	10	0.2
120	10	0.4
121	10	0.1
122	10	0.2
123	10	0.2
124	10	0.3
125	10	0.4
126	10	0.1
127	10	0.3
128	10	0.3
129	10	0.2
130	10	0.2
131	10	0.3
132	10	0.2
133	10	0.2
134	10	0.2
135	10	0.2
136	10	0.2
137	10	0.3
138	10	0.4
139	10	0.3
140	10	0.4
141	10	0.3
142	10	0.4
143	10	0.2
144	10	0.3
145	10	0.4
146	10	0.3
147	10	0.3
148	10	0.2
149	10	0.3
150	10	0.3
151	10	0.3
152	10	0.4
153	10	0.2
154	10	0.4
155	10	0.2
156	10	0.0
157	10	0.2
158	10	0.4
159	10	0.4
160	10	0.3
161	10	0.3
162	10	0.1
163	10	0.3
164	10	0.3
165	10	0.1
166	10	0.2
167	10	0.4
168	10	0.4
169	10	0.3
170	10	0.2
171	10	0.2
172	10	0.4
173	10	0.2
174	10	0.2
175	10	0.1
176	10	0.3
177	10	0.2
178	10	0.3
179	10	0.4
180	10	0.3
181	10	0.3
182	10	0.4
183	10	0.2
184	10	0.1
185	10	0.3
186	10	0.4
187	10	0.3
188	10	0.1
189	10	0.3
190	10	0.2
191	10	0.4
192	10	0.3
193	10	0.3
194	10	0.2
195	10	0.3
196	10	0.1
197	10	0.1
198	10	0.1
199	10	0.3
200	10	0.2
201	10	0.3
202	10	0.2
203	10	0.2
204	10	0.5
205	10	0.4
206	10	0.3
207	10	0.2
208	10	0.3
209	10	0.4
210	10	0.3
211	10	0.3
212	10	0.2
213	10	0.3
214	10	0.3
215	10	0.3
216	10	0.4
217	10	0.2
218	10	0.3
219	10	0.2
220	10	0.3
221	10	0.3
222	10	0.1
223	10	0.3
224	10	0.3
225	10	0.2
226	10	0.2
227	10	0.3
228	10	0.3
229	10	0.4
230	10	0.0
231	10	0.3
232	10	0.2
233	10	0.3
234	10	0.1
235	10	0.1
236	10	0.2
237	10	0.3
238	10	0.3
239	10	0.3
240	10	0.3
241	10	0.2
242	10	0.3
243	10	0.2
244	10	0.3
245	10	0.2
246	10	0.3
247	10	0.2
248	10	0.4
249	10	0.3
250	10	0.3
251	10	0.3
252	10	0.2
253	10	0.4
254	10	0.2
255	10	0.3
256	10	0.2
257	10	0.3
258	10	0.3
259	10	0.2
260	10	0.5
261	10	0.3
262	10	0.1
263	10	0.3
264	10	0.2
265	10	0.3
266	10	0.2
267	10	0.4
268	10	0.2
269	10	0.2
270	10	0.2
271	10	0.4
272	10	0.4
273	10	0.4
274	10	0.4
275	10	0.4
276	10	0.2
277	10	0.2
278	10	0.1
279	10	0.3
280	10	0.5
281	10	0.3
282	10	0.2
283	10	0.3
284	10	0.4
285	10	0.3
286	10	0.2
287	10	0.2
288	10	0.2
289	10	0.4
290	10	0.3
291	10	0.4
292	10	0.3
293	10	0.4
294	10	0.2
295	10	0.2
296	10	0.2
297	10	0.2
298	10	0.3
299	10	0.3
300	10	0.4
301	10	0.3
302	10	0.3
303	10	0.3
304	10	0.3
305	10	0.3
306	10	0.3
307	10	0.4
308	10	0.1
309	10	0.5
310	10	0.3
311	10	0.2
312	10	0.3
313	10	0.3
314	10	0.2
315	10	0.2
316	10	0.3
317	10	0.4
318	10	0.3
319	10	0.2
320	10	0.3
321	10	0.3
322	10	0.1
323	10	0.2
324	10	0.1
325	10	0.4
326	10	0.3
327	10	0.3
328	10	0.3
329	10	0.2
330	10	0.3
331	10	0.2
332	10	0.3
333	10	0.2
334	10	0.1
335	10	0.2
336	10	0.3
337	10	0.2
338	10	0.3
339	10	0.4
340	10	0.2
341	10	0.2
342	10	0.2
343	10	0.3
344	10	0.3
345	10	0.4
346	10	0.4
347	10	0.4
348	10	0.4
349	10	0.3
350	10	0.3
351	10	0.3
352	10	0.3
353	10	0.3
354	10	0.2
355	10	0.3
356	10	0.3
357	10	0.4
358	10	0.4
359	10	0.3
360	10	0.2
361	10	0.2
362	10	0.2
363	10	0.3
364	10	0.3
365	10	0.3
366	10	0.3
367	10	0.4
368	10	0.2
369	10	0.4
370	10	0.3
371	10	0.2
372	10	0.3
373	10	0.2
374	10	0.1
375	10	0.3
376	10	0.4
377	10	0.3
378	10	0.3
379	10	0.2
380	10	0.5
381	10	0.2
382	10	0.3
383	10	0.3
384	10	0.2
385	10	0.4
386	10	0.3
387	10	0.3
388	10	0.3
389	10	0.3
390	10	0.4
391	10	0.4
392	10	0.3
393	10	0.3
394	10	0.3
395	10	0.2
396	10	0.4
397	10	0.4
398	10	0.3
399	10	0.3
400	10	0.3
