rank	state	stage	event_count	R_star	match_tier	decoy_count	decoy_median_R_star	matched_percentile	log2_R_advantage
1	metastatic::NRAS	metastatic	1	7.337076880870344	stage+events	7	2.750891337651387	1.0	1.4153062491805737
2	primary::BRAF	primary	1	6.506627994453167	stage+events	8	2.181384726997482	1.0	1.5767242497744123
3	primary::TP53	primary	1	6.2642882349320095	stage+events	8	2.181384726997482	1.0	1.5219647733720043
4	primary::APC+BRAF+KRAS	primary	3	5.856311129553278	stage+events+Nbin+Fbin	7	1.6387568171961608	1.0	1.8373904199981173
5	primary::APC+TCF7L2	primary	2	5.699507072371378	stage+events+Nbin+Fbin	5	1.564584845602487	1.0	1.8650572553726836
6	metastatic::TP53	metastatic	1	5.28284174860629	stage+events	7	2.750891337651387	1.0	0.9414150403482062
7	metastatic::APC+TP53	metastatic	2	4.826012934876999	stage+events	20	1.6887590282939529	1.0	1.5159234580221967
8	primary::KRAS	primary	1	4.564116256042547	stage+events	8	2.181384726997482	1.0	1.0651497174219733
9	primary::APC+SOX9	primary	2	4.306726252368872	stage+events+Fbin	10	2.240501134414143	1.0	0.9429183864476836
10	primary::APC+NRAS	primary	2	4.071236614833394	stage+events+Fbin	10	2.240501134414143	1.0	0.8617938331303743
