rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
1	metastatic::NRAS	metastatic	NRAS	1	10	0.0007878358150161	9.81166967436128e-05	1	9.81166967436128e-05	0.0	metastatic::WT	0.0098840891410053	9.81166967436128e-05	rule_a_one_step	True	True	True	stable	True	8.029579400183566	7.337076880870344	2.875205402383357	True	relative_bottleneck	6.1550815059238335	2.683493302446496	11.468681289713151	0.228	0.544	500
2	primary::BRAF	primary	BRAF	1	65	0.0051209327976049	0.0007191564359688	1	0.0007191564359688	0.0	primary::WT	0.0556600770838611	0.0007191564359688	rule_a_one_step	True	True	True	stable	True	7.120749442483879	6.506627994453167	2.7019100724189875	True	relative_bottleneck	5.518967638465764	4.143727890004671	7.23716231819933	0.066	0.998	500
3	primary::TP53	primary	TP53	1	409	0.0322224848341605	0.0047002133130474	1	0.0047002133130474	0.0	primary::WT	0.3637793145275049	0.0047002133130474	rule_a_one_step	True	True	True	stable	True	6.855536691889708	6.2642882349320095	2.6471505960165795	True	relative_bottleneck	5.359024848120752	4.464803131812242	6.7170035671215045	0.026	1.0	500
4	primary::APC+BRAF+KRAS	primary	APC+BRAF+KRAS	3	7	0.0005514850705113	8.604782280949812e-05	3	8.604782280949812e-05	0.0	primary::APC+KRAS	0.0029523457178724	5.000821943926325e-05	rule_a_one_step	True	True	True	stable	True	6.4090530834602175	5.856311129553278	2.549992202040654	False	relative_bottleneck	5.27066841874446	1.5857822387028604	11.40539370036866	0.168	0.196	500
5	primary::APC+TCF7L2	primary	APC+TCF7L2	2	8	0.0006302686520129	0.000101045895847	1	0.000101045895847	0.0	primary::APC	0.0105129143933279	0.000101045895847	rule_a_one_step	True	True	True	stable	True	6.2374492352443545	5.699507072371378	2.510837151734141	False	relative_bottleneck	4.760061710011513	1.9610282670613493	8.805124840087313	0.092	0.28	500
6	metastatic::TP53	metastatic	TP53	1	265	0.0208776490979279	0.0036111394966095	1	0.0036111394966095	0.0	metastatic::WT	0.3637793145275049	0.0036111394966095	rule_a_one_step	True	True	True	stable	True	5.781457379796045	5.28284174860629	2.4013141935509896	True	relative_bottleneck	4.558723963423949	3.6175986541843614	5.746594125417904	0.004	0.968	500
7	metastatic::APC+TP53	metastatic	APC+TP53	2	584	0.0460096115969431	0.0087114481941061	2	0.0087114481941061	0.0	metastatic::TP53	0.2626090281665842	0.0054826591400098	rule_a_one_step	True	True	True	stable	True	5.281511244340547	4.826012934876999	2.2708317823290254	True	relative_bottleneck	4.178086802728112	3.572195394295784	4.977687718806247	0.0	0.942	500
8	primary::KRAS	primary	KRAS	1	108	0.0085086268021744	0.0017034643530993	1	0.0017034643530993	0.0	primary::WT	0.1318419087432285	0.0017034643530993	rule_a_one_step	True	True	True	stable	True	4.994895714547139	4.564116256042547	2.1903355400665485	True	relative_bottleneck	3.9242886668585486	3.082171500159967	5.069019040986452	0.0	0.716	500
9	primary::APC+SOX9	primary	APC+SOX9	2	17	0.0013393208855274	0.0002841630758192	2	0.0002841630758192	0.0	primary::APC	0.0154362232889466	0.0001483667565785	rule_a_one_step	True	True	True	stable	True	4.713212217853815	4.306726252368872	2.1065916247403966	True	relative_bottleneck	3.6339321001318448	1.8888162951385248	6.540423667673263	0.014	0.502	500
10	primary::APC+NRAS	primary	APC+NRAS	2	10	0.0007878358150161	0.0001768233631884	2	0.0001768233631884	0.0	primary::NRAS	0.4008802963921234	0.0001263311420128	rule_a_one_step	True	True	True	stable	True	4.455496131023433	4.071236614833394	2.025467071423088	True	relative_bottleneck	3.6645170291873823	1.417424860465463	9.520141316401851	0.058	0.414	500
11	primary::APC+RNF43	primary	APC+RNF43	2	6	0.0004727014890096	0.0001063105727287	2	0.0001063105727287	0.0	primary::RNF43	0.1897412655278359	8.969097874159109e-05	rule_a_one_step	True	True	True	stable	True	4.446420261221231	4.062943483751335	2.0225252965702896	False	relative_bottleneck	3.4733367354366305	0.9131126185374504	10.484093411773143	0.068	0.07	500
12	primary::APC+TP53	primary	APC+TP53	2	938	0.0738989994485149	0.0166684209399061	2	0.0166684209399061	0.0	primary::TP53	0.2626090281665842	0.0084619154274114	rule_a_one_step	True	True	True	stable	True	4.433473315229194	4.051113133320541	2.0183183749778046	True	relative_bottleneck	3.494015904102913	3.043043928767222	4.066050103238057	0.0	0.406	500
13	primary::APC+NRAS+PIK3CA	primary	APC+NRAS+PIK3CA	3	8	0.0006302686520129	0.0001504200566695	3	0.0001504200566695	0.0	primary::NRAS+PIK3CA	0.4876562488315837	7.683861164918991e-05	rule_a_one_step	True	True	True	stable	True	4.1900572422171445	3.8286902201492574	1.9368509362564887	False	relative_bottleneck	3.3021598049508505	1.1459669098000194	11.721739110376957	0.076	0.238	500
14	metastatic::BRAF	metastatic	BRAF	1	28	0.0022059402820452	0.0005525226276346	1	0.0005525226276346	0.0	metastatic::WT	0.0556600770838611	0.0005525226276346	rule_a_one_step	True	True	True	stable	True	3.992488574624353	3.648160651770335	1.867169261961292	True	relative_bottleneck	3.168962890173953	1.9232221485544856	4.577116461793429	0.0	0.268	500
15	metastatic::KRAS	metastatic	KRAS	1	65	0.0051209327976049	0.0013087591981128	1	0.0013087591981128	0.0	metastatic::WT	0.1318419087432285	0.0013087591981128	rule_a_one_step	True	True	True	stable	True	3.912815131367263	3.575358559729553	1.8380879317942815	True	relative_bottleneck	3.0741261229797407	2.214117893307903	4.1351852946969485	0.0	0.168	500
16	primary::RNF43+SMAD4+TP53	primary	RNF43+SMAD4+TP53	3	11	0.0008666193965177	0.0002249838282924	2	0.0002249838282924	0.0	primary::RNF43+TP53	0.0718114248622265	0.0001131512248676	rule_a_one_step	True	True	True	stable	True	3.851918598963352	3.519713983873476	1.815458198518123	True	relative_bottleneck	3.0356575515256328	1.2083179323933304	5.468271735002054	0.004	0.266	500
17	primary::APC+PIK3CA+PTEN	primary	APC+PIK3CA+PTEN	3	7	0.0005514850705113	0.0001459610386012	3	0.0001459610386012	0.0	primary::PIK3CA+PTEN	0.3755134392542777	0.0001183371745857	rule_a_one_step	True	True	True	stable	True	3.7783032514565313	3.452447513570289	1.7876194818294686	False	relative_bottleneck	3.020784375898593	0.7777051300169865	12.455876147008665	0.074	0.148	500
18	primary::APC+KRAS	primary	APC+KRAS	2	215	0.0169384700228472	0.0047067635640275	2	0.0047067635640275	0.0	primary::KRAS	0.4935438374274594	0.0041993803231832	rule_a_one_step	True	True	True	stable	True	3.598750986496212	3.2883805423764865	1.7173772621679355	True	relative_bottleneck	2.829828066077829	2.295148739376551	3.538017530996303	0.0	0.042	500
19	primary::FBXW7	primary	FBXW7	1	13	0.0010241865595209	0.0002847098579916	1	0.0002847098579916	0.0	primary::WT	0.0220355013871191	0.0002847098579916	rule_a_one_step	True	True	True	stable	True	3.597299240526713	3.287054000691194	1.716795157631929	True	relative_bottleneck	2.6889804562531223	1.3379252153779366	4.333726727010533	0.0	0.152	500
20	metastatic::APC+KRAS	metastatic	APC+KRAS	2	120	0.0094540297801938	0.0027270310172571	2	0.0027270310172571	0.0	metastatic::KRAS	0.4935438374274594	0.002527404824138	rule_a_one_step	True	True	True	stable	True	3.466784835559348	3.167795671508384	1.66347928200578	True	relative_bottleneck	2.745651634161239	2.065766885489236	3.698333604329643	0.0	0.058	500
21	metastatic::RNF43+SMAD4+TP53	metastatic	RNF43+SMAD4+TP53	3	6	0.0004727014890096	0.0001364541355904	2	0.0001364541355904	0.0	metastatic::RNF43+TP53	0.0718114248622265	7.354829616394429e-05	rule_a_one_step	True	True	True	stable	True	3.4641785204977777	3.1654141353120955	1.6623942616995424	False	relative_bottleneck	2.770201472848957	0.7903745829729184	5.680054451589565	0.002	0.072	500
22	primary::ARID1A+BRAF+RNF43+SOX9	primary	ARID1A+BRAF+RNF43+SOX9	4	5	0.000393917907508	0.0001140130560261	3	0.0001140130560261	0.0	primary::ARID1A+BRAF+RNF43	0.1165181367121035	5.507829672044602e-05	rule_a_one_step	True	True	True	stable	True	3.4550245189689845	3.15704961089095	1.658576931801985	False	relative_bottleneck	2.8182541076828254	0.4785523027177043	8.106030791030205	0.038	0.03	500
23	primary::CTNNB1+TP53	primary	CTNNB1+TP53	2	28	0.0022059402820452	0.0006562290170062	2	0.0006562290170062	0.0	primary::TP53	0.014685950757227	0.0004732178255499	rule_a_one_step	True	True	True	stable	True	3.3615402877906364	3.071627827616858	1.6190034231623518	True	relative_bottleneck	2.580663363820112	1.6384396868273514	4.15791781836127	0.0	0.098	500
24	primary::APC	primary	APC	1	122	0.009611596943197	0.0030347296031764	1	0.0030347296031764	0.0	primary::WT	0.2348769686165781	0.0030347296031764	rule_a_one_step	True	True	True	stable	True	3.167200441834867	2.8940486145933986	1.533089156646324	True	relative_bottleneck	2.4896081873190705	1.9596754635005325	3.226991496198171	0.0	0.006	500
25	metastatic::SMAD4	metastatic	SMAD4	1	13	0.0010241865595209	0.000332605612671	1	0.000332605612671	0.0	metastatic::WT	0.0335060558859784	0.000332605612671	rule_a_one_step	True	True	True	stable	True	3.079282241261306	2.8137128255455623	1.4924750910822389	True	relative_bottleneck	2.380359139964666	1.17828160648179	3.975750414581273	0.0	0.066	500
26	primary::APC+FBXW7+PIK3CA	primary	APC+FBXW7+PIK3CA	3	6	0.0004727014890096	0.000154338296239	3	0.000154338296239	0.0	primary::FBXW7+PIK3CA	0.3573956184944689	8.447072051393734e-05	rule_a_one_step	True	True	True	stable	True	3.0627621106748597	2.798617456018236	1.4847142979065389	False	relative_bottleneck	2.337764093910561	0.6829539233321246	6.303168841704192	0.012	0.06	500
27	metastatic::ARID1A	metastatic	ARID1A	1	5	0.000393917907508	0.0001308466349228	1	0.0001308466349228	0.0	metastatic::WT	0.0131812407704426	0.0001308466349228	rule_a_one_step	True	True	True	stable	True	3.010531411295338	2.750891337651387	1.4598991532027834	False	relative_bottleneck	2.4467591660315198	0.4791142045745536	4.664026933936033	0.0	0.03	500
28	primary::BRAF+PTEN	primary	BRAF+PTEN	2	13	0.0010241865595209	0.0003444153425453	2	0.0003444153425453	0.0	primary::BRAF	0.0575197949683398	0.0002945550045648	rule_a_one_step	True	True	True	stable	True	2.973696087341113	2.717232836961085	1.4421381939502704	True	relative_bottleneck	2.2451571908803123	1.0955101710566146	4.072651453638885	0.0	0.072	500
