route_rank	target_state	step	state	event_added	R_star	log2_R_star	N_v	F_hat
1	metastatic::NRAS	0	metastatic::WT		9070610908.48926	33.07855257397572	126	0.0
1	metastatic::NRAS	1	metastatic::NRAS	NRAS	7.337076880870344	2.875205402383357	10	9.81166967436128e-05
2	primary::BRAF	0	primary::WT		11806191976.128878	33.45882465509389	164	0.0
2	primary::BRAF	1	primary::BRAF	BRAF	6.506627994453167	2.7019100724189875	65	0.0007191564359688
3	primary::TP53	0	primary::WT		11806191976.128878	33.45882465509389	164	0.0
3	primary::TP53	1	primary::TP53	TP53	6.2642882349320095	2.6471505960165795	409	0.0047002133130474
4	primary::APC+BRAF+KRAS	0	primary::WT		11806191976.128878	33.45882465509389	164	0.0
4	primary::APC+BRAF+KRAS	1	primary::KRAS	KRAS	4.564116256042547	2.1903355400665485	108	0.0017034643530993
4	primary::APC+BRAF+KRAS	2	primary::APC+KRAS	APC	3.2883805423764865	1.7173772621679355	215	0.0047067635640275
4	primary::APC+BRAF+KRAS	3	primary::APC+BRAF+KRAS	BRAF	5.856311129553278	2.549992202040654	7	8.604782280949812e-05
5	primary::ARID1A+BRAF+RNF43+SOX9	0	primary::WT		11806191976.128878	33.45882465509389	164	0.0
5	primary::ARID1A+BRAF+RNF43+SOX9	1	primary::BRAF	BRAF	6.506627994453167	2.7019100724189875	65	0.0007191564359688
5	primary::ARID1A+BRAF+RNF43+SOX9	2	primary::BRAF+RNF43	RNF43	0.668863989993253	-0.5802152187159147	7	0.0007534010428422
5	primary::ARID1A+BRAF+RNF43+SOX9	3	primary::ARID1A+BRAF+RNF43	ARID1A	1.727897244024648	0.7890174247097341	6	0.0002499765842853
5	primary::ARID1A+BRAF+RNF43+SOX9	4	primary::ARID1A+BRAF+RNF43+SOX9	SOX9	3.15704961089095	1.658576931801985	5	0.0001140130560261
6	primary::ARID1A+BRAF+FBXW7+RNF43	0	primary::WT		11806191976.128878	33.45882465509389	164	0.0
6	primary::ARID1A+BRAF+FBXW7+RNF43	1	primary::BRAF	BRAF	6.506627994453167	2.7019100724189875	65	0.0007191564359688
6	primary::ARID1A+BRAF+FBXW7+RNF43	2	primary::BRAF+FBXW7	FBXW7	2.3116436910246434	1.2089190428185514	10	0.0003114189938204
6	primary::ARID1A+BRAF+FBXW7+RNF43	3	primary::BRAF+FBXW7+RNF43	RNF43	1.2220082478015906	0.2892540224907646	3	0.0001767311518225
6	primary::ARID1A+BRAF+FBXW7+RNF43	4	primary::ARID1A+BRAF+FBXW7+RNF43	ARID1A	2.514254748522444	1.330130833453837	6	0.0001717939880693
