replicate	top_k	top_overlap_fraction
1	10	0.4
2	10	0.4
3	10	0.5
4	10	0.5
5	10	0.5
6	10	0.3
7	10	0.3
8	10	0.3
9	10	0.4
10	10	0.2
11	10	0.5
12	10	0.4
13	10	0.4
14	10	0.4
15	10	0.5
16	10	0.4
17	10	0.5
18	10	0.4
19	10	0.4
20	10	0.4
21	10	0.5
22	10	0.6
23	10	0.5
24	10	0.3
25	10	0.4
26	10	0.5
27	10	0.3
28	10	0.4
29	10	0.5
30	10	0.4
31	10	0.5
32	10	0.5
33	10	0.5
34	10	0.3
35	10	0.4
36	10	0.5
37	10	0.2
38	10	0.3
39	10	0.3
40	10	0.5
41	10	0.3
42	10	0.3
43	10	0.5
44	10	0.5
45	10	0.5
46	10	0.5
47	10	0.4
48	10	0.3
49	10	0.2
50	10	0.4
51	10	0.5
52	10	0.6
53	10	0.5
54	10	0.4
55	10	0.4
56	10	0.3
57	10	0.3
58	10	0.5
59	10	0.5
60	10	0.3
61	10	0.5
62	10	0.4
63	10	0.3
64	10	0.4
65	10	0.5
66	10	0.4
67	10	0.4
68	10	0.4
69	10	0.5
70	10	0.4
71	10	0.4
72	10	0.3
73	10	0.4
74	10	0.4
75	10	0.3
76	10	0.5
77	10	0.5
78	10	0.5
79	10	0.3
80	10	0.6
81	10	0.3
82	10	0.4
83	10	0.4
84	10	0.5
85	10	0.5
86	10	0.4
87	10	0.4
88	10	0.5
89	10	0.3
90	10	0.5
91	10	0.4
92	10	0.4
93	10	0.5
94	10	0.4
95	10	0.6
96	10	0.5
97	10	0.5
98	10	0.5
99	10	0.4
100	10	0.4
101	10	0.4
102	10	0.7
103	10	0.3
104	10	0.4
105	10	0.4
106	10	0.5
107	10	0.5
108	10	0.6
109	10	0.4
110	10	0.5
111	10	0.3
112	10	0.5
113	10	0.4
114	10	0.5
115	10	0.6
116	10	0.2
117	10	0.3
118	10	0.4
119	10	0.4
120	10	0.4
121	10	0.4
122	10	0.4
123	10	0.4
124	10	0.4
125	10	0.5
126	10	0.6
127	10	0.2
128	10	0.4
129	10	0.2
130	10	0.6
131	10	0.3
132	10	0.4
133	10	0.5
134	10	0.5
135	10	0.3
136	10	0.4
137	10	0.4
138	10	0.3
139	10	0.4
140	10	0.6
141	10	0.4
142	10	0.5
143	10	0.5
144	10	0.2
145	10	0.3
146	10	0.4
147	10	0.4
148	10	0.4
149	10	0.4
150	10	0.4
151	10	0.4
152	10	0.5
153	10	0.5
154	10	0.2
155	10	0.4
156	10	0.6
157	10	0.5
158	10	0.5
159	10	0.4
160	10	0.4
161	10	0.4
162	10	0.4
163	10	0.3
164	10	0.3
165	10	0.3
166	10	0.4
167	10	0.5
168	10	0.2
169	10	0.5
170	10	0.3
171	10	0.5
172	10	0.4
173	10	0.5
174	10	0.5
175	10	0.3
176	10	0.4
177	10	0.4
178	10	0.5
179	10	0.4
180	10	0.2
181	10	0.3
182	10	0.4
183	10	0.6
184	10	0.4
185	10	0.4
186	10	0.4
187	10	0.4
188	10	0.4
189	10	0.5
190	10	0.5
191	10	0.5
192	10	0.5
193	10	0.3
194	10	0.3
195	10	0.5
196	10	0.2
197	10	0.3
198	10	0.2
199	10	0.3
200	10	0.5
201	10	0.2
202	10	0.5
203	10	0.4
204	10	0.4
205	10	0.4
206	10	0.5
207	10	0.4
208	10	0.4
209	10	0.3
210	10	0.5
211	10	0.4
212	10	0.4
213	10	0.5
214	10	0.3
215	10	0.3
216	10	0.5
217	10	0.4
218	10	0.4
219	10	0.4
220	10	0.5
221	10	0.4
222	10	0.4
223	10	0.3
224	10	0.4
225	10	0.4
226	10	0.4
227	10	0.4
228	10	0.3
229	10	0.4
230	10	0.5
231	10	0.3
232	10	0.4
233	10	0.3
234	10	0.3
235	10	0.5
236	10	0.4
237	10	0.4
238	10	0.5
239	10	0.4
240	10	0.5
241	10	0.5
242	10	0.3
243	10	0.4
244	10	0.5
245	10	0.4
246	10	0.3
247	10	0.4
248	10	0.3
249	10	0.4
250	10	0.4
251	10	0.4
252	10	0.5
253	10	0.4
254	10	0.4
255	10	0.4
256	10	0.4
257	10	0.4
258	10	0.3
259	10	0.5
260	10	0.5
261	10	0.2
262	10	0.4
263	10	0.5
264	10	0.5
265	10	0.5
266	10	0.3
267	10	0.4
268	10	0.5
269	10	0.5
270	10	0.5
271	10	0.3
272	10	0.3
273	10	0.5
274	10	0.5
275	10	0.5
276	10	0.4
277	10	0.4
278	10	0.4
279	10	0.4
280	10	0.4
281	10	0.6
282	10	0.4
