rank	state	stage	event_count	R_star	match_tier	decoy_count	decoy_median_R_star	matched_percentile	log2_R_advantage
1	metastatic::ESR1	metastatic	1	5.724772114919255	stage+events	9	2.479057812115483	1.0	1.2074263494747823
2	primary::PIK3CA	primary	1	5.132282549303011	stage+events	12	2.2262948415102235	1.0	1.2050147478318216
3	metastatic::ATM+ESR1	metastatic	2	4.3192833747329145	stage+events+Nbin+Fbin	5	1.7028089538608129	1.0	1.3428753890203295
4	metastatic::PIK3CA	metastatic	1	4.087335540486031	stage+events	9	2.479057812115483	1.0	0.7213687672291837
5	metastatic::ESR1+PTEN	metastatic	2	3.8951177438578672	stage+events+Nbin+Fbin	5	1.7028089538608129	1.0	1.1937503582019737
6	metastatic::GATA3	metastatic	1	3.8823113371175566	stage+events	9	2.479057812115483	1.0	0.6471239020721424
7	primary::GATA3	primary	1	3.8232636017128505	stage+events	12	2.2262948415102235	1.0	0.7802188228140621
8	metastatic::AKT1	metastatic	1	3.736370371046622	stage+events	9	2.479057812115483	1.0	0.5918455548201893
9	metastatic::BRCA2	metastatic	1	3.686490556659016	stage+events	9	2.479057812115483	1.0	0.5724561456074888
10	primary::TP53	primary	1	3.672714919840095	stage+events	12	2.2262948415102235	1.0	0.7222610668795351
