rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
1	metastatic::ESR1	metastatic	ESR1	1	75	0.006840569135352	0.0017457349969074	1	0.0017457349969074	0.0	metastatic::WT	0.0321144941377399	0.0017457349969074	rule_a_one_step	True	True	True	stable	True	3.918446467276942	5.724772114919255	2.517218265223657	True	relative_bottleneck	5.148957616914996	3.956225246699908	6.602245658887319	0.964	0.998	500
2	primary::PIK3CA	primary	PIK3CA	1	766	0.0698650127690623	0.0198881080395075	1	0.0198881080395075	0.0	primary::WT	0.1823187429307362	0.0198881080395075	rule_a_one_step	True	True	True	stable	True	3.5129039236293043	5.132282549303011	2.359600597796514	True	relative_bottleneck	4.643853398121509	4.098867622712996	5.24328898994341	0.978	1.0	500
3	metastatic::ATM+ESR1	metastatic	ATM+ESR1	2	8	0.0007296607077708	0.0002468047683781	2	0.0002468047683781	0.0	metastatic::ESR1	0.0243958188950221	0.0001668812857649	rule_a_one_step	True	True	True	stable	True	2.9564287173602075	4.3192833747329145	2.110791970379337	False	relative_bottleneck	3.8126392054185048	1.5892989979281638	7.27446940109857	0.504	0.328	500
4	metastatic::PIK3CA	metastatic	PIK3CA	1	304	0.0277271068952936	0.009910796314002	1	0.009910796314002	0.0	metastatic::WT	0.1823187429307362	0.009910796314002	rule_a_one_step	True	True	True	stable	True	2.7976669093	4.087335540486031	2.0311606829780584	True	relative_bottleneck	3.711074910285876	3.147101008693704	4.318082180792978	0.422	0.944	500
5	metastatic::ESR1+PTEN	metastatic	ESR1+PTEN	2	12	0.0010944910616563	0.000410521505902	2	0.000410521505902	0.0	metastatic::ESR1	0.0453405498328225	0.0003101551657662	rule_a_one_step	True	True	True	stable	True	2.6660992012715017	3.8951177438578672	1.9616669395609811	True	relative_bottleneck	3.398882170622659	1.6035934207581193	6.047511017146768	0.366	0.526	500
6	metastatic::GATA3	metastatic	GATA3	1	168	0.0153228748631886	0.0057662594606621	1	0.0057662594606621	0.0	metastatic::WT	0.1060759542394287	0.0057662594606621	rule_a_one_step	True	True	True	stable	True	2.6573335738818447	3.8823113371175566	1.956915817821017	True	relative_bottleneck	3.5047624806692954	2.9015905931067705	4.297725777160754	0.22	0.792	500
7	primary::GATA3	primary	GATA3	1	332	0.0302809193724917	0.0115712186492481	1	0.0115712186492481	0.0	primary::WT	0.1060759542394287	0.0115712186492481	rule_a_one_step	True	True	True	stable	True	2.6169170497735244	3.8232636017128505	1.9348046727787545	True	relative_bottleneck	3.466426884147208	3.0006250970401767	4.034390123491573	0.16	0.802	500
8	metastatic::AKT1	metastatic	AKT1	1	42	0.0038307187157971	0.0014978717473581	1	0.0014978717473581	0.0	metastatic::WT	0.0275548084530778	0.0014978717473581	rule_a_one_step	True	True	True	stable	True	2.5574410626251405	3.736370371046622	1.901637470569064	True	relative_bottleneck	3.3230426961450075	2.301647192891047	4.479669661376382	0.212	0.528	500
9	metastatic::BRCA2	metastatic	BRCA2	1	27	0.0024626048887267	0.0009759462431813	1	0.0009759462431813	0.0	metastatic::WT	0.0179534808896643	0.0009759462431813	rule_a_one_step	True	True	True	stable	True	2.52329972414877	3.686490556659016	1.8822480613563637	True	relative_bottleneck	3.294869810220645	2.207746359295676	4.678823615592192	0.26	0.506	500
10	primary::TP53	primary	TP53	1	1436	0.1309740970448741	0.05210057055787	1	0.05210057055787	0.0	primary::WT	0.4776176050137856	0.05210057055787	rule_a_one_step	True	True	True	stable	True	2.5138706858667192	3.672714919840095	1.8768469168442277	True	relative_bottleneck	3.309527204308004	2.9659413447423466	3.721610853191451	0.042	0.574	500
