route_rank	target_state	step	state	event_added	R_star	log2_R_star	N_v	F_hat
1	metastatic::ESR1	0	metastatic::WT		79418470419.88249	36.20875552405355	596	0.0
1	metastatic::ESR1	1	metastatic::ESR1	ESR1	5.724772114919255	2.517218265223657	75	0.0017457349969074
2	primary::PIK3CA	0	primary::WT		159369950708.35483	37.213588677789495	1196	0.0
2	primary::PIK3CA	1	primary::PIK3CA	PIK3CA	5.132282549303011	2.359600597796514	766	0.0198881080395075
3	metastatic::ATM+ESR1	0	metastatic::WT		79418470419.88249	36.20875552405355	596	0.0
3	metastatic::ATM+ESR1	1	metastatic::ESR1	ESR1	5.724772114919255	2.517218265223657	75	0.0017457349969074
3	metastatic::ATM+ESR1	2	metastatic::ATM+ESR1	ATM	4.3192833747329145	2.110791970379337	8	0.0002468047683781
4	metastatic::PIK3CA	0	metastatic::WT		79418470419.88249	36.20875552405355	596	0.0
4	metastatic::PIK3CA	1	metastatic::PIK3CA	PIK3CA	4.087335540486031	2.0311606829780584	304	0.009910796314002
5	metastatic::NF1+PIK3CA+PTEN+TP53	0	metastatic::WT		79418470419.88249	36.20875552405355	596	0.0
5	metastatic::NF1+PIK3CA+PTEN+TP53	1	metastatic::TP53	TP53	3.6491128978650575	1.8675457863486584	711	0.0259631605790054
5	metastatic::NF1+PIK3CA+PTEN+TP53	2	metastatic::PTEN+TP53	PTEN	1.5140490343213973	0.598411929515702	68	0.0059847254343212
5	metastatic::NF1+PIK3CA+PTEN+TP53	3	metastatic::PIK3CA+PTEN+TP53	PIK3CA	0.7081727032752274	-0.4978268591907633	20	0.0037632760058603
5	metastatic::NF1+PIK3CA+PTEN+TP53	4	metastatic::NF1+PIK3CA+PTEN+TP53	NF1	1.214909253969186	0.2808485576681601	5	0.0005484050206594
6	metastatic::ESR1+PTEN	0	metastatic::WT		79418470419.88249	36.20875552405355	596	0.0
6	metastatic::ESR1+PTEN	1	metastatic::ESR1	ESR1	5.724772114919255	2.517218265223657	75	0.0017457349969074
6	metastatic::ESR1+PTEN	2	metastatic::ESR1+PTEN	PTEN	3.8951177438578672	1.9616669395609811	12	0.000410521505902
