state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
primary::EGFR+TP53	1085	0.0399661116841019	0.037075040787709436	1.3160853613143235	True	full_mhn
unknown::EGFR	121	0.0044570502431118	0.032003113762091015	0.17003138516922595	True	full_mhn
primary::KRAS+TP53	687	0.0253057315456018	0.029989068988526418	1.030219371095434	True	full_mhn
unknown::KRAS	74	0.0027257993222336	0.029587719109115364	0.11247504885765856	True	full_mhn
unknown::TP53	97	0.0035730072196846	0.023007747315889227	0.18959793068370184	True	full_mhn
metastatic::EGFR+TP53	1121	0.0412921762192426	0.02021607163890976	2.493703429278773	True	full_mhn
primary::EGFR	1292	0.047590982761161	0.01641159677612231	3.5403616965203804	True	full_mhn
primary::KRAS	1461	0.0538161190511271	0.015172952205643232	4.330281044867632	True	full_mhn
primary::TP53	862	0.0317518785914247	0.01179866042042945	3.2855684676576375	True	full_mhn
metastatic::KRAS+TP53	459	0.016907322823044	0.010783621440060473	1.9141854458620384	True	full_mhn
metastatic::EGFR	658	0.024237512892294	0.0107410450564018	2.754960098113012	True	full_mhn
metastatic::KRAS	472	0.0173861794607337	0.009930378225996845	2.137529742101343	True	full_mhn
primary::EGFR+PIK3CA+TP53	64	0.0023574480624723	0.009263717338854022	0.31069240487221633	True	full_mhn
primary::EGFR+RBM10+TP53	80	0.0029468100780904	0.008884459133378044	0.4049439834833017	True	full_mhn
metastatic::EGFR+PIK3CA+TP53	71	0.0026152939443052	0.008590726089079346	0.3716759280624483	True	full_mhn
metastatic::TP53	881	0.0324517459849712	0.007721975192895322	5.13078083796499	True	full_mhn
primary::KRAS+STK11	237	0.008729924856343	0.007507195685527575	1.4197326410180124	True	full_mhn
primary::KRAS+STK11+TP53	66	0.0024311183144246	0.006871418707129184	0.4319500020699635	True	full_mhn
metastatic::EGFR+RBM10+TP53	62	0.0022837778105201	0.00617534104252296	0.45150929995614936	True	full_mhn
primary::KEAP1+KRAS+STK11	134	0.0049359068808015	0.0061438259165384305	0.9808483244978872	True	full_mhn
unknown::STK11	8	0.000294681007809	0.005722878445574019	0.06286536236188833	True	full_mhn
metastatic::STK11+TP53	63	0.0023206129364962	0.0054563293725932716	0.5192493104751499	True	full_mhn
primary::STK11+TP53	108	0.0039781936054221	0.005374973968573502	0.9036148260443563	True	full_mhn
primary::CDKN2A+EGFR+TP53	41	0.0015102401650213	0.005056696716620781	0.36463042829360054	True	full_mhn
primary::ATM+EGFR+TP53	28	0.0010313835273316	0.004753695732924775	0.2648881977348816	True	full_mhn
metastatic::ATM+EGFR+TP53	47	0.0017312509208781	0.004703480316050179	0.4493807708108473	True	full_mhn
metastatic::CDKN2A+EGFR+TP53	41	0.0015102401650213	0.004643237734110423	0.39709909228954454	True	full_mhn
metastatic::KRAS+STK11+TP53	46	0.001694415794902	0.004477909240925686	0.46197503012989943	True	full_mhn
unknown::MET	13	0.0004788566376897	0.004448669517259737	0.1314162789476615	True	full_mhn
primary::CDKN2A+KRAS+TP53	69	0.002541623692353	0.004290948555544995	0.7231555784334238	True	full_mhn
primary::NF1+TP53	89	0.0032783262118756	0.004152489687665526	0.9638676441759042	True	full_mhn
metastatic::EGFR+NF1+TP53	30	0.0011050537792839	0.004132725952050795	0.3264529556738883	True	full_mhn
primary::KRAS+RBM10	155	0.0057094445263002	0.004116294959021204	1.6934062905061724	True	full_mhn
primary::EGFR+NF1+TP53	31	0.00114188890526	0.004101318362779133	0.33991800492442337	True	full_mhn
primary::BRAF+TP53	87	0.0032046559599233	0.004040005430203447	0.9684412096666454	True	full_mhn
primary::ATM+KRAS	146	0.0053779283925151	0.003969209771437569	1.6541876027221318	True	full_mhn
metastatic::NF1+TP53	79	0.0029099749521143	0.003967746630266948	0.89540418018656	True	full_mhn
primary::KRAS+RBM10+TP53	49	0.0018049211728304	0.003888079909693491	0.5667569514539395	True	full_mhn
primary::ARID1A+EGFR+TP53	34	0.0012523942831884	0.003838872949230734	0.39830076062303027	True	full_mhn
primary::MET+TP53	87	0.0032046559599233	0.003787670950894799	1.0329587222715941	True	full_mhn
