replicate	top_k	top_overlap_fraction
1	10	0.1
2	10	0.0
3	10	0.1
4	10	0.2
5	10	0.0
6	10	0.1
7	10	0.1
8	10	0.1
9	10	0.1
10	10	0.0
11	10	0.1
12	10	0.1
13	10	0.0
14	10	0.1
15	10	0.1
16	10	0.0
17	10	0.1
18	10	0.0
19	10	0.1
20	10	0.0
21	10	0.1
22	10	0.1
23	10	0.1
24	10	0.1
25	10	0.1
26	10	0.1
27	10	0.1
28	10	0.1
29	10	0.1
30	10	0.0
31	10	0.0
32	10	0.1
33	10	0.0
34	10	0.0
35	10	0.1
36	10	0.0
37	10	0.1
38	10	0.0
39	10	0.1
40	10	0.1
41	10	0.1
42	10	0.1
43	10	0.1
44	10	0.1
45	10	0.0
46	10	0.0
47	10	0.0
48	10	0.0
49	10	0.1
50	10	0.2
51	10	0.1
52	10	0.1
53	10	0.1
54	10	0.1
55	10	0.0
56	10	0.0
57	10	0.1
58	10	0.1
59	10	0.1
60	10	0.2
61	10	0.0
62	10	0.0
63	10	0.1
64	10	0.0
65	10	0.1
66	10	0.1
67	10	0.1
68	10	0.1
69	10	0.0
70	10	0.1
71	10	0.1
72	10	0.1
73	10	0.0
74	10	0.1
75	10	0.1
76	10	0.0
77	10	0.1
78	10	0.0
79	10	0.1
80	10	0.1
81	10	0.0
82	10	0.1
83	10	0.0
84	10	0.1
85	10	0.0
86	10	0.0
87	10	0.1
88	10	0.0
89	10	0.1
90	10	0.1
91	10	0.0
92	10	0.1
93	10	0.1
94	10	0.0
95	10	0.1
96	10	0.1
97	10	0.0
98	10	0.1
99	10	0.0
100	10	0.1
101	10	0.0
102	10	0.0
103	10	0.1
104	10	0.1
105	10	0.0
106	10	0.1
107	10	0.0
108	10	0.0
109	10	0.1
110	10	0.1
111	10	0.1
112	10	0.1
113	10	0.1
114	10	0.1
115	10	0.0
116	10	0.0
117	10	0.1
118	10	0.1
119	10	0.1
120	10	0.1
121	10	0.0
122	10	0.1
123	10	0.1
124	10	0.1
125	10	0.1
126	10	0.1
127	10	0.1
128	10	0.1
129	10	0.1
130	10	0.1
131	10	0.1
132	10	0.1
133	10	0.1
134	10	0.1
135	10	0.1
136	10	0.1
137	10	0.1
138	10	0.0
139	10	0.0
140	10	0.1
141	10	0.1
142	10	0.2
143	10	0.1
144	10	0.1
