rank	state	stage	event_count	R_star	match_tier	decoy_count	decoy_median_R_star	matched_percentile	log2_R_advantage
1	metastatic::KRAS+RBM10+SETD2+SMARCA4+TP53	metastatic	5	21.289936823711425	all_eligible	406	0.9838639243689756	1.0	4.435569128863979
2	primary::BRAF+EGFR+KRAS+MET+PIK3CA+TP53	primary	6	9.547402751899996	all_eligible	406	0.9838639243689756	1.0	3.278577685163781
3	metastatic::ARID1A+RBM10	metastatic	2	8.865637087922169	stage+events+Fbin	7	1.713182783990981	1.0	2.3715452228682774
4	primary::NF1+RBM10	primary	2	5.854118217430129	stage+events+Fbin	18	1.911128244847844	1.0	1.618665088383946
5	metastatic::TP53	metastatic	1	5.1307808379638296	stage+events	14	2.1246274570039674	1.0	1.271971375359263
6	primary::KEAP1+SMARCA4	primary	2	4.779077987218945	stage+events+Nbin+Fbin	8	1.7559099895436523	1.0	1.4446039568177138
7	unknown::EGFR+RBM10	unknown	2	4.700259290067002	stage+events+Fbin	9	1.3914329678735544	1.0	1.7561689366657385
8	primary::MET	primary	1	4.395943216472283	stage+events	13	1.700927537114131	1.0	1.3698510701040967
9	metastatic::RBM10+STK11	metastatic	2	4.339398536418108	stage+events+Nbin+Fbin	5	2.3167611546482814	1.0	0.9053857734322173
10	primary::BRAF	primary	1	4.335626199243493	stage+events+Nbin+Fbin	6	1.6021090379134861	1.0	1.4396327348510929
