rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
1	metastatic::KRAS+RBM10+SETD2+SMARCA4+TP53	metastatic	KRAS+RBM10+SETD2+SMARCA4+TP53	5	5	0.0001841756298806	1.056164457567524e-05	1	1.056164457567524e-05	0.0	metastatic::KRAS+SETD2+SMARCA4+TP53	0.0955758423134771	1.056164457567524e-05	rule_a_one_step	True	True	True	stable	True	17.438156635821333	21.289936823711425	4.412099763594739	False	relative_bottleneck	19.477200098400004	4.561722776959308	160089047.15998834	0.526	0.038	500
2	primary::BRAF+EGFR+KRAS+MET+PIK3CA+TP53	primary	BRAF+EGFR+KRAS+MET+PIK3CA+TP53	6	6	0.0002210107558567	2.826193865882198e-05	4	2.826193865882198e-05	0.0	primary::BRAF+EGFR+KRAS+MET+PIK3CA	0.70374431253363	2.592251040716185e-05	rule_a_one_step	True	True	True	stable	True	7.82008448552456	9.547402751899996	3.2551083198945405	False	relative_bottleneck	9.935997293515742	1.7657650410708043	2566.0756885366723	0.408	0.066	500
3	metastatic::ARID1A+RBM10	metastatic	ARID1A+RBM10	2	7	0.0002578458818329	3.5507822156176497e-05	2	3.5507822156176497e-05	0.0	metastatic::ARID1A	0.0276180960458851	2.848484931798968e-05	rule_a_one_step	True	True	True	stable	True	7.261664019751777	8.865637087922169	3.148224307442165	False	relative_bottleneck	7.7882778163228	2.4872368528043745	16.597739093258607	0.342	0.21	500
4	primary::NF1+RBM10	primary	NF1+RBM10	2	18	0.0006630322675703	0.0001382760520882	2	0.0001382760520882	0.0	primary::NF1	0.0605811317295907	0.0001071126537137	rule_a_one_step	True	True	True	stable	True	4.794989824792045	5.854118217430129	2.5494518796684487	True	relative_bottleneck	5.057378495891319	2.7540074639365697	8.156528733224464	0.038	0.914	500
5	metastatic::TP53	metastatic	TP53	1	881	0.0324517459849712	0.0077219751928953	1	0.0077219751928953	0.0	metastatic::WT	0.1951919762911753	0.0077219751928953	rule_a_one_step	True	True	True	stable	True	4.202518807704313	5.1307808379638296	2.3591784019207616	True	relative_bottleneck	4.582434285649589	4.118619688064355	5.131226578172447	0.002	1.0	500
6	primary::KEAP1+SMARCA4	primary	KEAP1+SMARCA4	2	7	0.0002578458818329	6.587033522943012e-05	2	6.587033522943012e-05	0.0	primary::KEAP1	0.0490760026930677	5.0616180764914415e-05	rule_a_one_step	True	True	True	stable	True	3.9144461163037647	4.779077987218945	2.2567323103456283	False	relative_bottleneck	4.192322254529318	1.3946549558320436	8.25809380030667	0.022	0.174	500
7	unknown::EGFR+RBM10	unknown	EGFR+RBM10	2	24	0.0008840430234271	0.0002296282844376	2	0.0002296282844376	0.0	unknown::EGFR	0.0480342024978448	0.0002140908539207	rule_a_one_step	True	True	True	stable	True	3.849887315676599	4.700259290067002	2.2327403453382857	True	relative_bottleneck	4.255836429106071	2.564594874430644	5.965685906096533	0.006	0.812	500
8	primary::MET	primary	MET	1	223	0.0082142330926771	0.0022813333368197	1	0.0022813333368197	0.0	primary::WT	0.0377414000170523	0.0022813333368197	rule_a_one_step	True	True	True	stable	True	3.600628174980955	4.395943216472283	2.1361727507450743	True	relative_bottleneck	3.936173951109059	3.314576272067122	4.615675358409197	0.0	0.908	500
9	metastatic::RBM10+STK11	metastatic	RBM10+STK11	2	5	0.0001841756298806	5.181749517451865e-05	2	5.181749517451865e-05	0.0	metastatic::STK11	0.0309820872831423	4.108424717080907e-05	rule_a_one_step	True	True	True	stable	True	3.554313571237796	4.339398536418108	2.117495091365613	False	relative_bottleneck	3.504595102369807	1.198322696512756	8.771055596959734	0.026	0.036	500
10	primary::BRAF	primary	BRAF	1	152	0.0055989391483718	0.0015766224762406	1	0.0015766224762406	0.0	primary::WT	0.0260829658653152	0.0015766224762406	rule_a_one_step	True	True	True	stable	True	3.551223726158462	4.335626199243493	2.116240378521961	True	relative_bottleneck	3.85893313853484	3.305618837506548	4.514859708588371	0.0	0.894	500
11	primary::KRAS	primary	KRAS	1	1461	0.0538161190511271	0.0151729522056432	1	0.0151729522056432	0.0	primary::WT	0.2510148119919576	0.0151729522056432	rule_a_one_step	True	True	True	stable	True	3.5468456183210435	4.33028104486665	2.1144606621061355	True	relative_bottleneck	3.878470838072621	3.551405302946617	4.29454232769042	0.0	0.948	500
12	primary::BRAF+RBM10+STK11	primary	BRAF+RBM10+STK11	3	8	0.000294681007809	8.450784844456373e-05	3	8.450784844456373e-05	0.0	primary::BRAF+STK11	0.0560743951679699	5.7834207481330384e-05	rule_a_one_step	True	True	True	stable	True	3.4870252851760752	4.257247458804372	2.089920951339704	False	relative_bottleneck	3.580649544445425	1.1580244605359642	7.338966134488819	0.014	0.26	500
13	primary::MET+RBM10	primary	MET+RBM10	2	24	0.0008840430234271	0.0002695154653141	2	0.0002695154653141	0.0	primary::MET	0.0259652554233968	0.0002132846603586	rule_a_one_step	True	True	True	stable	True	3.280119822128607	4.004640240693219	2.0016726430633285	True	relative_bottleneck	3.526783754340295	2.2161316820512984	5.399189396594204	0.0	0.558	500
