state	N_v	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::APC+KRAS+TP53	580	0.7066956971581224	0.6225614099849405	0.7951743084970927	0.0	0.0	500
metastatic::APC+KRAS+TP53	389	0.7180489024558337	0.6281477898490899	0.8214020804122287	0.0	0.0	500
unknown::TP53	17	0.04486473043393505	0.025362856763809068	0.069662813162921	0.0	0.0	500
primary::APC+KRAS+PIK3CA+TP53	155	0.4669591898377048	0.38812394491203955	0.5497478572016671	0.0	0.0	500
primary::APC+TP53	938	3.494015904102913	3.043043928767222	4.066050103238057	0.0	0.406	500
unknown::APC	3	0.011991162517991389	0.0	0.02745615968044149	0.0	0.0	500
primary::APC+KRAS+SMAD4+TP53	117	0.53804968069511	0.4275317619826831	0.6658786319654822	0.0	0.0	500
metastatic::APC+KRAS+PIK3CA+TP53	69	0.34554510793794124	0.26983551531228445	0.4499441997096378	0.0	0.0	500
primary::APC+FBXW7+KRAS+TP53	87	0.4517954780093648	0.3596792416006134	0.5698337497069895	0.0	0.0	500
primary::KRAS+TP53	183	1.0127504303014265	0.8317618371360482	1.227864835772458	0.0	0.0	500
metastatic::APC+KRAS+SMAD4+TP53	77	0.47900348497663797	0.37715245032447015	0.6103527543854396	0.0	0.0	500
primary::APC+KRAS+SOX9+TP53	59	0.38729787694500606	0.29764347718998035	0.5026246568943198	0.0	0.0	500
metastatic::APC+TP53	584	4.178086802728112	3.5721953942957834	4.977687718806247	0.0	0.942	500
unknown::KRAS	4	0.028501463909873875	0.0069258473107600554	0.05881811397592094	0.0	0.0	500
primary::APC+KRAS+TCF7L2+TP53	53	0.42336526272020725	0.3095546253225352	0.5622434581197474	0.0	0.0	500
primary::APC+PIK3CA+TP53	113	0.9385251784589526	0.767090268524962	1.1481206876344863	0.0	0.0	500
metastatic::KRAS+TP53	175	1.5247528101155914	1.2283990058490704	1.8259014256671833	0.0	0.0	500
primary::APC+KRAS+PIK3CA	133	1.166612830964949	0.9144373478013581	1.4489049511169096	0.0	0.0	500
primary::APC+FBXW7+KRAS+PIK3CA+TP53	24	0.22728097636000916	0.140440911115996	0.33630688019414484	0.0	0.0	500
primary::APC+FBXW7+TP53	93	0.9435049259657989	0.7342859965184756	1.2028490513229266	0.0	0.0	500
metastatic::APC+FBXW7+KRAS+TP53	43	0.43392480333796857	0.30198139290302395	0.5804296765353533	0.0	0.0	500
metastatic::APC+KRAS+SOX9+TP53	35	0.3490605044354479	0.22812368946020956	0.47077070117127184	0.0	0.0	500
primary::APC+SMAD4+TP53	58	0.5982049419048654	0.4342520543863441	0.7784476595605286	0.0	0.0	500
primary::APC+KRAS+PIK3CA+SMAD4+TP53	22	0.23373559965188873	0.14730024685299617	0.3539392753729	0.0	0.0	500
primary::APC+SOX9+TP53	64	0.7128353433171762	0.5282189067173241	0.8965509923226866	0.0	0.0	500
primary::APC+NRAS+TP53	57	0.683542399266682	0.4939695484222302	0.8962308832516308	0.0	0.0	500
primary::APC+ARID1A+KRAS+TP53	18	0.22264652029298065	0.13401106943127	0.34510306381151445	0.0	0.0	500
metastatic::APC+KRAS+TCF7L2+TP53	32	0.4085791632582887	0.27612791716001933	0.5703585505579772	0.0	0.0	500
primary::APC+KRAS	215	2.8298280660778294	2.295148739376551	3.538017530996303	0.0	0.042	500
primary::TP53	409	5.359024848120752	4.464803131812242	6.7170035671215045	0.026	1.0	500
primary::BRAF+TP53	129	1.7125005833222497	1.3688845161171157	2.1189878615637627	0.0	0.0	500
primary::APC+BRAF+TP53	56	0.7697488470294036	0.5638412362192453	1.0018278235878866	0.0	0.0	500
metastatic::APC+PIK3CA+TP53	49	0.7375601035597927	0.4935557678369374	0.9606514897636387	0.0	0.0	500
