rule	source_state	target_state	predecessor_type	event_added	step_distance	edge_probability	source_L	inflow_contribution
rule_a_one_step	primary::TP53	primary::APC+TP53	same_stage_one_event	APC	1	0.2626090281665842	0.03222248483416056	0.008461915427411404
rule_a_one_step	primary::APC	primary::APC+TP53	same_stage_one_event	TP53	1	0.8538129054925895	0.009611596943197038	0.008206505512494754
rule_a_one_step	metastatic::TP53	metastatic::APC+TP53	same_stage_one_event	APC	1	0.2626090281665842	0.02087764909792799	0.005482659140009833
rule_a_one_step	metastatic::APC	metastatic::APC+TP53	same_stage_one_event	TP53	1	0.8538129054925895	0.003781611912077523	0.003228789054096297
rule_a_one_step	primary::KRAS+TP53	primary::APC+KRAS+TP53	same_stage_one_event	APC	1	0.4687621732393271	0.014417395414795557	0.006758329607090275
rule_a_one_step	primary::APC+TP53	primary::APC+KRAS+TP53	same_stage_one_event	KRAS	1	0.531573612075783	0.07389899944851493	0.039282758065633375
rule_a_one_step	primary::APC+KRAS	primary::APC+KRAS+TP53	same_stage_one_event	TP53	1	0.27610203758057206	0.01693847002284724	0.004676746086805562
rule_a_one_step	primary::WT	primary::TP53	same_stage_one_event	TP53	1	0.36377931452750495	0.01292050736626487	0.004700213313047413
rule_a_one_step	metastatic::KRAS+TP53	metastatic::APC+KRAS+TP53	same_stage_one_event	APC	1	0.4687621732393271	0.013787126762782636	0.006462883504048078
rule_a_one_step	metastatic::APC+TP53	metastatic::APC+KRAS+TP53	same_stage_one_event	KRAS	1	0.531573612075783	0.046009611596943195	0.024457495426790928
rule_a_one_step	metastatic::APC+KRAS	metastatic::APC+KRAS+TP53	same_stage_one_event	TP53	1	0.27610203758057206	0.009454029780193808	0.002610276885658918
rule_a_one_step	metastatic::WT	metastatic::TP53	same_stage_one_event	TP53	1	0.36377931452750495	0.009926731269203497	0.0036111394966095974
rule_a_one_step	primary::KRAS	primary::APC+KRAS	same_stage_one_event	APC	1	0.4935438374274594	0.008508626802174428	0.0041993803231832995
rule_a_one_step	primary::APC	primary::APC+KRAS	same_stage_one_event	KRAS	1	0.05278865144291615	0.009611596943197038	0.0005073832408442268
rule_a_one_step	primary::TP53	primary::KRAS+TP53	same_stage_one_event	KRAS	1	0.3367025902924171	0.03222248483416056	0.010849394109319987
rule_a_one_step	primary::KRAS	primary::KRAS+TP53	same_stage_one_event	TP53	1	0.03040307689191535	0.008508626802174428	0.000258688434911121
rule_a_one_step	metastatic::TP53	metastatic::KRAS+TP53	same_stage_one_event	KRAS	1	0.3367025902924171	0.02087764909792799	0.0070295585304884995
rule_a_one_step	metastatic::KRAS	metastatic::KRAS+TP53	same_stage_one_event	TP53	1	0.03040307689191535	0.005120932797604979	0.0001556921136039154
rule_a_one_step	primary::KRAS+PIK3CA+TP53	primary::APC+KRAS+PIK3CA+TP53	same_stage_one_event	APC	1	0.5450229446402756	0.003860395493579138	0.002104004119386552
rule_a_one_step	primary::APC+PIK3CA+TP53	primary::APC+KRAS+PIK3CA+TP53	same_stage_one_event	KRAS	1	0.5854822158511793	0.008902544709682502	0.005212281603339105
rule_a_one_step	primary::APC+KRAS+TP53	primary::APC+KRAS+PIK3CA+TP53	same_stage_one_event	PIK3CA	1	0.24898838912920912	0.045694477270936736	0.011377394287791798
rule_a_one_step	primary::APC+KRAS+PIK3CA	primary::APC+KRAS+PIK3CA+TP53	same_stage_one_event	TP53	1	0.18273702144635853	0.010478216339714803	0.0019147580439900485
