state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::APC+KRAS+TP53	primary	APC+KRAS+TP53	3	580	0.045694477270936736	0.05071783375952921	3	0.05071783375952921	0.0	primary::APC+TP53	0.531573612075783	0.039282758065633375	rule_a_one_step	True	True	True	stable	True	0.9009548295514572	0.8232529403046138	-0.2805923353727707	True	fast_passing	0.7066956971581224	0.6225614099849405	0.7951743084970927	0.0	0.0	500
metastatic::APC+KRAS+TP53	metastatic	APC+KRAS+TP53	3	389	0.03064681320412826	0.033530655816497924	3	0.033530655816497924	0.0	metastatic::APC+TP53	0.531573612075783	0.024457495426790928	rule_a_one_step	True	True	True	stable	True	0.9139938500139704	0.8351674243412887	-0.2598626541215875	True	fast_passing	0.7180489024558337	0.6281477898490899	0.8214020804122287	0.0	0.0	500
unknown::TP53	unknown	TP53	1	17	0.001339320885527456	0.023472406727962386	1	0.023472406727962386	0.0	unknown::WT	0.36377931452750495	0.023472406727962386	rule_a_one_step	True	True	True	stable	True	0.05705937618552257	0.052138351086996	-4.261511232452276	True	fast_passing	0.04486473043393505	0.025362856763809068	0.069662813162921	0.0	0.0	500
primary::APC+KRAS+PIK3CA+TP53	primary	APC+KRAS+PIK3CA+TP53	4	155	0.012211455132750335	0.020608438054507502	4	0.020608438054507502	0.0	primary::APC+KRAS+TP53	0.24898838912920912	0.011377394287791798	rule_a_one_step	True	True	True	stable	True	0.5925463686214145	0.5414428384575743	-0.8851190581188486	True	fast_passing	0.4669591898377048	0.38812394491203955	0.5497478572016671	0.0	0.0	500
primary::APC+TP53	primary	APC+TP53	2	938	0.07389899944851493	0.016668420939906156	2	0.016668420939906156	0.0	primary::TP53	0.2626090281665842	0.008461915427411404	rule_a_one_step	True	True	True	stable	True	4.433473315229194	4.051113133320541	2.0183183749778046	True	relative_bottleneck	3.494015904102913	3.043043928767222	4.066050103238057	0.0	0.406	500
unknown::APC	unknown	APC	1	3	0.0002363507445048452	0.015155143567082445	1	0.015155143567082445	0.0	unknown::WT	0.2348769686165781	0.015155143567082445	rule_a_one_step	False	True	False	rare_state	False	0.015595414417756668	0.014250404519257708	-6.132853316838131	False	fast_passing	0.011991162517991389	0.0	0.02745615968044149	0.0	0.0	500
primary::APC+KRAS+SMAD4+TP53	primary	APC+KRAS+SMAD4+TP53	4	117	0.009217679035688962	0.013491623821286984	4	0.013491623821286984	0.0	primary::APC+KRAS+TP53	0.16708026878630863	0.007634645544477981	rule_a_one_step	True	True	True	stable	True	0.6832149455918094	0.6242918006206098	-0.6797075771654653	True	fast_passing	0.53804968069511	0.4275317619826831	0.6658786319654822	0.0	0.0	500
metastatic::APC+KRAS+PIK3CA+TP53	metastatic	APC+KRAS+PIK3CA+TP53	4	69	0.005436067123611439	0.01235883334804092	4	0.01235883334804092	0.0	metastatic::APC+KRAS+TP53	0.24898838912920912	0.007630700651639672	rule_a_one_step	True	True	True	stable	True	0.4398527733229199	0.4019181395803273	-1.315026403551872	True	fast_passing	0.34554510793794124	0.26983551531228445	0.4499441997096378	0.0	0.0	500
primary::APC+FBXW7+KRAS+TP53	primary	APC+FBXW7+KRAS+TP53	4	87	0.0068541715906405105	0.012005526271316382	4	0.012005526271316382	0.0	primary::APC+KRAS+TP53	0.1372584334684366	0.006271952368367859	rule_a_one_step	True	True	True	stable	True	0.5709180451710466	0.5216798267167535	-0.9387634492510766	True	fast_passing	0.4517954780093648	0.3596792416006134	0.5698337497069895	0.0	0.0	500
primary::KRAS+TP53	primary	KRAS+TP53	2	183	0.014417395414795557	0.011108082544231108	2	0.011108082544231108	0.0	primary::TP53	0.3367025902924171	0.010849394109319987	rule_a_one_step	True	True	True	stable	True	1.2979193624182415	1.185981690026647	0.24608173677121373	True	relative_bottleneck	1.0127504303014265	0.8317618371360482	1.227864835772458	0.0	0.0	500
metastatic::APC+KRAS+SMAD4+TP53	metastatic	APC+KRAS+SMAD4+TP53	4	77	0.00606633577562436	0.009989692915613517	4	0.009989692915613517	0.0	metastatic::APC+KRAS+TP53	0.16708026878630863	0.005120477787589542	rule_a_one_step	True	True	True	stable	True	0.6072594849773254	0.5548870377711823	-0.8497339930366417	True	fast_passing	0.47900348497663797	0.37715245032447015	0.6103527543854396	0.0	0.0	500
primary::APC+KRAS+SOX9+TP53	primary	APC+KRAS+SOX9+TP53	4	59	0.004648231308595289	0.009296029988592275	4	0.009296029988592275	0.0	primary::APC+KRAS+TP53	0.14268035756150005	0.006519704355603091	rule_a_one_step	True	True	True	stable	True	0.5000232694816382	0.4568992954135379	-1.1300518771258083	True	fast_passing	0.38729787694500606	0.29764347718998035	0.5026246568943198	0.0	0.0	500
metastatic::APC+TP53	metastatic	APC+TP53	2	584	0.046009611596943195	0.00871144819410613	2	0.00871144819410613	0.0	metastatic::TP53	0.2626090281665842	0.005482659140009833	rule_a_one_step	True	True	True	stable	True	5.281511244340547	4.826012934876999	2.2708317823290254	True	relative_bottleneck	4.178086802728112	3.5721953942957834	4.977687718806247	0.0	0.942	500
unknown::KRAS	unknown	KRAS	1	4	0.0003151343260064603	0.008506934787733723	1	0.008506934787733723	0.0	unknown::WT	0.13184190874322851	0.008506934787733723	rule_a_one_step	False	True	False	rare_state	False	0.03704440363452801	0.03384954851636577	-4.884719598442517	False	fast_passing	0.028501463909873875	0.0069258473107600554	0.05881811397592094	0.0	0.0	500
primary::APC+KRAS+TCF7L2+TP53	primary	APC+KRAS+TCF7L2+TP53	4	53	0.004175529819585598	0.007699625950426331	4	0.007699625950426331	0.0	primary::APC+KRAS+TP53	0.10075088386386764	0.0046037589727442865	rule_a_one_step	True	True	True	stable	True	0.5423029437958728	0.49553260426837115	-1.0129481101924696	True	fast_passing	0.42336526272020725	0.3095546253225352	0.5622434581197474	0.0	0.0	500
primary::APC+PIK3CA+TP53	primary	APC+PIK3CA+TP53	3	113	0.008902544709682502	0.007451482499059759	3	0.007451482499059759	0.0	primary::APC+TP53	0.07271875407837884	0.00537384316753481	rule_a_one_step	True	True	True	stable	True	1.194734700056144	1.0916960789197874	0.12657127524811104	True	relative_bottleneck	0.9385251784589526	0.767090268524962	1.1481206876344863	0.0	0.0	500
metastatic::KRAS+TP53	metastatic	KRAS+TP53	2	175	0.013787126762782636	0.007185250644092415	2	0.007185250644092415	0.0	metastatic::TP53	0.3367025902924171	0.0070295585304884995	rule_a_one_step	True	True	True	stable	True	1.9188094394729787	1.7533237639858352	0.8100924248299646	True	relative_bottleneck	1.5247528101155914	1.2283990058490704	1.8259014256671833	0.0	0.0	500
primary::APC+KRAS+PIK3CA	primary	APC+KRAS+PIK3CA	3	133	0.010478216339714803	0.007080496260565373	3	0.007080496260565373	0.0	primary::APC+KRAS	0.23546513103691047	0.003988419063494505	rule_a_one_step	True	True	True	stable	True	1.4798703300774365	1.3522404903610392	0.4353517517659824	True	relative_bottleneck	1.166612830964949	0.9144373478013581	1.4489049511169096	0.0	0.0	500
primary::APC+FBXW7+KRAS+PIK3CA+TP53	primary	APC+FBXW7+KRAS+PIK3CA+TP53	5	24	0.0018908059560387616	0.006564768581515441	5	0.006564768581515441	0.0	primary::APC+KRAS+PIK3CA+TP53	0.22156670422728508	0.0027056518675828557	rule_a_one_step	True	True	True	stable	True	0.28802324594879414	0.26318298801003437	-1.9258618577396183	True	fast_passing	0.22728097636000916	0.140440911115996	0.33630688019414484	0.0	0.0	500
primary::APC+FBXW7+TP53	primary	APC+FBXW7+TP53	3	93	0.007326873079650201	0.006136952086876815	3	0.006136952086876815	0.0	primary::APC+TP53	0.06630270153651827	0.004899703304282213	rule_a_one_step	True	True	True	stable	True	1.193894456846747	1.0909283015906497	0.1255562874189338	True	relative_bottleneck	0.9435049259657989	0.7342859965184756	1.2028490513229266	0.0	0.0	500
metastatic::APC+FBXW7+KRAS+TP53	metastatic	APC+FBXW7+KRAS+TP53	4	43	0.003387694004569448	0.006119868570505203	4	0.006119868570505203	0.0	metastatic::APC+KRAS+TP53	0.1372584334684366	0.004206533571198444	rule_a_one_step	True	True	True	stable	True	0.5535566597529451	0.5058157554843151	-0.9833161191652255	True	fast_passing	0.43392480333796857	0.30198139290302395	0.5804296765353533	0.0	0.0	500
metastatic::APC+KRAS+SOX9+TP53	metastatic	APC+KRAS+SOX9+TP53	4	35	0.0027574253525565274	0.006062742451993143	4	0.006062742451993143	0.0	metastatic::APC+KRAS+TP53	0.14268035756150005	0.004372698266085521	rule_a_one_step	True	True	True	stable	True	0.45481485877652633	0.4155898359170934	-1.2667677242143371	True	fast_passing	0.3490605044354479	0.22812368946020956	0.47077070117127184	0.0	0.0	500
