target_event	APC	TP53	KRAS	PIK3CA	SMAD4	BRAF	FBXW7	SOX9	ARID1A	TCF7L2	RNF43	PTEN	CTNNB1	NRAS	TGFBR2
APC	0.944783755637408	-0.8291043667633461	0.0021306312434120228	-0.10050800324867325	-0.029416575868314275	-0.9538227227365979	-0.017351934962856173	0.0011232488698990873	-0.33312804383881484	0.756512113864792	-0.7519104241528606	-0.00555986058754458	-1.1260002674215093	0.005906175791842241	-0.046868913694901905
TP53	0.8479040078447438	1.3822693213936688	-3.2224228022412307	-0.9912467339490041	-0.3759979126007958	-1.1936629624006365	-0.32145684701914	-1.2633639197834283	-1.129550284380497	-0.40448512980693013	-1.81243191324814	-1.7513842545856366	-0.0024847383551772437	-1.3622741239949065	-0.3693502729649279
KRAS	-0.9205679876818638	-0.0031123931783982937	0.36732546016990175	-0.001306408443973701	0.0020686992488193005	-2.482655335645454	-0.1456301641531827	-0.39337929866279564	-0.8278252233513751	-0.5140479403190708	-0.8046073093153054	-0.06390643793214357	-0.10736335431999766	-1.9617068408969895	-0.0011016738862464764
PIK3CA	-1.044071401574918	-1.051520861881248	0.3426192963260017	-0.45000502757077065	-0.12266997025516693	-0.0789367709842123	0.0034783524236352836	-0.003346044204664282	-0.002229085332461726	-0.0006421008643582693	-0.2541925076255819	0.1568492920641002	0.0007308705183218451	0.0006752213018985624	-0.0010051071929922395
SMAD4	-1.5704660299223498	-0.21374459551511316	0.18485260211990917	-0.3762877650129293	-1.0025518884018139	-0.06747497546288356	-0.4923755946156905	-0.00026598582593240477	-0.555643616721446	-0.005106936593714547	-0.2526892924528318	-0.00038273705996593865	-0.35266223045865924	0.0016452278166513672	-0.27512532493683817
BRAF	-3.0308697693319453	-0.2916047817005	-2.004535246854233	-0.014768584629998596	-0.0008278943697807346	-0.49501494260852563	-0.001867666743265637	-0.005163949758307543	-0.0015804487068958855	-0.15412641281263315	-0.0018315408127491254	-9.277568908523702e-05	-0.6841058450941491	-0.3620117328233563	-0.0006036430968855617
FBXW7	-0.6703289094386177	-0.5460138232040967	-0.16055277144240662	0.11265120387988076	-0.09579049060834313	0.0026988318265463783	-1.421623231452255	0.013857945048132227	0.21671671534729872	-8.22021199410512e-05	0.38997755750246804	0.37053056192792505	-0.0003403762158913946	-0.02552586023088752	0.002157716555174318
SOX9	0.0014514921098070259	-0.9481873782940079	-0.028768163964197624	-0.15834796287562955	4.154828056604486e-05	-0.0032779649436280103	0.0035904282564312192	-1.7842733434013174	0.6702803658160055	-0.45712128343255015	0.3032537725868476	-0.11134238353036345	-0.0001449395282451218	-0.010128398501896735	0.0012126545381516485
ARID1A	-0.14100122371020926	-0.8412481595970358	-0.46356489316130617	-0.001440646537396302	-0.005290235790160882	0.0019595589007162595	-0.0007462941275603549	-0.0007129145869486532	-1.935483418569981	-0.0060363497535947785	1.9857738477508886	0.3834995868361557	-0.0006003003677060412	-0.02422884876823114	-0.0027424738555561524
TCF7L2	-0.0035325890823836065	-0.9386058524234939	-0.002193117317846007	0.002733833098684168	-0.3285730884496879	-0.2991922195614757	0.0008771402728881513	-0.04617052541561356	1.0056759433464417	-2.163401727620861	0.862784879605477	0.004515691905539962	0.3692871424211621	0.00011297776956772591	0.003442160156654287
RNF43	-2.358365354692571	-0.40621309227604185	-0.5465920833393604	-0.06554350098925367	-0.14637366712033353	1.2613995702990697	0.0002762713403195977	0.0057766267495364294	-0.000744245394102006	0.0012958315822656759	-1.613561430005356	-0.0006012450303159717	-0.00036772831385360034	-0.023570556184135304	-0.00023897222938587767
PTEN	-2.0523538396954453	-0.5148137225789521	-0.0048256313443112864	0.006751772236873478	0.000495362299816185	0.4854371722569328	0.001748354629819835	-0.0017585486582821057	0.0021811667643151793	0.0008416281358461483	0.002155882195697765	-1.715144421009095	0.003060630241790364	0.0028288109065369047	0.0004964137098081882
CTNNB1	-1.3573657875785368	-0.8299562638819294	-0.0037778206170418147	0.0006287784646289693	-0.0009142739416523731	-0.4853721696284866	-0.001299940221816498	-2.0010711153730207e-05	0.9896888335774231	0.0005063366538158704	0.0005322373607096021	0.3605141923911306	-1.9381393824582525	0.00027948669603574495	0.0016053293709326654
NRAS	-0.6373380795579214	-0.0009404185884813184	-1.937736861145819	-0.0020844990583142957	0.0014073687843098941	-0.9301411321439856	-0.23010992385101617	-0.006315343851707271	-0.1656197836279547	-0.001467688834900481	-0.40700121678294365	0.0013601086075266675	-0.0007648655516472118	-2.223351776807832	-0.001029784947084307
TGFBR2	-0.6494321702956587	-0.9001298917009883	-0.01038915934783559	0.002735032276571522	-0.2641373635558378	0.5609780628046589	0.004481251796445013	0.3905145478954553	0.8445571892149156	0.0015093334425353125	1.6258854126116677	0.002308723734999405	0.006058942278122626	0.0003136790800561647	-3.2844347884794733
