state	N_v	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::PIK3CA+TP53	452	0.870661560644892	0.7556237725936624	0.9847994272385444	0.0	0.0	500
primary::TP53	1436	3.309527204308004	2.9659413447423466	3.721610853191451	0.042	0.574	500
metastatic::PIK3CA+TP53	264	1.0450443343549383	0.893573752777122	1.2171909120942632	0.0	0.0	500
metastatic::TP53	711	3.2958662145024884	2.865064870084387	3.817490586632406	0.03	0.522	500
primary::MAP3K1+PIK3CA	158	0.9019264911156636	0.7360155688021983	1.0651217888285809	0.0	0.0	500
primary::GATA3+PIK3CA	115	0.6901789795811353	0.5511001626166652	0.8432109952074891	0.0	0.0	500
primary::PIK3CA	766	4.643853398121509	4.098867622712996	5.24328898994341	0.978	1.0	500
unknown::TP53	33	0.2276127603521905	0.1458504541483027	0.32864700197895613	0.0	0.0	500
primary::MAP3K1+PIK3CA+TP53	32	0.31973180672273044	0.20627256760898632	0.4530129229698085	0.0	0.0	500
primary::PTEN+TP53	85	0.8564587286962446	0.6810227313271158	1.0818148549180462	0.0	0.0	500
primary::GATA3	332	3.466426884147208	3.0006250970401767	4.034390123491573	0.16	0.802	500
primary::GATA3+TP53	48	0.5415712811854412	0.38890348793715324	0.6988827774203753	0.0	0.0	500
metastatic::PIK3CA	304	3.711074910285876	3.147101008693704	4.318082180792978	0.422	0.944	500
primary::RB1+TP53	78	1.0199434175486242	0.7853767856011563	1.2574376626578758	0.0	0.0	500
metastatic::GATA3+PIK3CA	42	0.5445686826463367	0.36707639859782937	0.7399741957703959	0.0	0.0	500
primary::NF1+TP53	59	0.7770151098324333	0.5743631573906746	1.020572160867189	0.0	0.0	500
primary::BRCA2+TP53	49	0.6985425605171143	0.4926818886335403	0.911284533893125	0.0	0.0	500
metastatic::MAP3K1+PIK3CA	45	0.6442965457013965	0.43676016581827704	0.8890948797113276	0.0	0.0	500
primary::CBFB+GATA3+PIK3CA	41	0.5913345171658209	0.3972948812645833	0.8402542043683655	0.0	0.0	500
primary::AKT1+TP53	57	0.8418930489413998	0.6129437968109958	1.0758539435185774	0.0	0.0	500
primary::NF1+PIK3CA+TP53	31	0.47166468041383264	0.31969193717091726	0.6770460218113885	0.0	0.0	500
primary::CBFB+PIK3CA	48	0.8056407808113106	0.5576058828231871	1.0588270110638855	0.0	0.0	500
metastatic::MAP3K1+PIK3CA+TP53	23	0.38665404557080524	0.23107594024589692	0.5782656904081488	0.0	0.0	500
primary::BRCA1+TP53	73	1.270600913376149	0.9291940534889923	1.6317429312733132	0.0	0.0	500
primary::MAP2K4+PIK3CA	51	0.8943189899963621	0.6443899813429991	1.1663351475003518	0.0	0.0	500
primary::MAP3K1+TP53	38	0.6721075892904458	0.47414956810933634	0.9188323572160114	0.0	0.0	500
primary::PIK3CA+RB1+TP53	8	0.13326302366314166	0.054209349413493174	0.26340091192078097	0.0	0.0	500
unknown::PIK3CA	12	0.21900270785146705	0.10730121976513804	0.3570296366635767	0.0	0.0	500
metastatic::PTEN+TP53	68	1.3878904133741	1.0247546463980015	1.7266873323590866	0.0	0.0	500
metastatic::GATA3	168	3.5047624806692954	2.9015905931067705	4.297725777160754	0.22	0.792	500
primary::PIK3CA+RUNX1+TP53	16	0.33363174071469803	0.19469678459937761	0.5336746850609941	0.0	0.0	500
primary::ATM+TP53	25	0.5698602604064986	0.3548885175726299	0.8027030788000321	0.0	0.0	500
metastatic::GATA3+TP53	38	0.8654776924150709	0.6054056436075091	1.1089089134653174	0.0	0.0	500
primary::PIK3CA+PTEN+TP53	31	0.6898519494285795	0.4747494780763641	1.0384507561291685	0.0	0.0	500
primary::MAP2K4+PIK3CA+TP53	14	0.31414492874820593	0.1653118225045913	0.501899019596144	0.0	0.0	500
primary::GATA3+MAP3K1+PIK3CA	20	0.474392291732056	0.26996051414441147	0.7334873397097483	0.0	0.0	500
metastatic::RB1+TP53	37	0.9363315486656965	0.6509764196394717	1.2571454010226293	0.0	0.0	500
metastatic::BRCA2+TP53	32	0.8645650854817104	0.5829120946148318	1.1913936816315784	0.0	0.0	500
metastatic::NF1+TP53	23	0.638370927791972	0.38233053576360837	0.9229701253408399	0.0	0.0	500
primary::PTEN	78	2.1533377253102923	1.7074662470401627	2.7081123164979393	0.0	0.0	500
primary::RUNX1+TP53	26	0.7335515042950129	0.46888969107039374	1.0	0.0	0.0	500
primary::MAP2K4+TP53	24	0.6946756523188944	0.4369525624063331	0.9910903290496228	0.0	0.0	500
primary::BRCA2+PIK3CA+TP53	13	0.3662658757328375	0.1811436962841628	0.6065575117525289	0.0	0.0	500
primary::ESR1+PIK3CA	9	0.2593080912082368	0.11190862215770826	0.4287693667742026	0.0	0.0	500
primary::GATA3+PIK3CA+TP53	21	0.5994127156758867	0.35327595556059593	0.8909374981181156	0.0	0.0	500
metastatic::AKT1+TP53	38	1.0927959424329943	0.8026182874182536	1.514694895548638	0.0	0.0	500
metastatic::NF1+PIK3CA+TP53	30	0.9227505959650404	0.5790953331082129	1.3444360968163909	0.0	0.0	500
primary::CBFB+MAP3K1+PIK3CA	15	0.45749449384576196	0.2338924518355589	0.7093591241978006	0.0	0.0	500
primary::ESR1+GATA3	9	0.2671796849418324	0.10682811755348678	0.4930092122164885	0.0	0.0	500
unknown::GATA3	6	0.18338275043030866	0.060561641012837834	0.3502737835540788	0.0	0.0	500
primary::PIK3CA+RUNX1	27	0.8253353810467041	0.5351518908878793	1.1829901955176974	0.0	0.0	500
primary::ESR1+TP53	12	0.38397219119321946	0.18840905083992718	0.5968688080570689	0.0	0.0	500
primary::ATM+PIK3CA+TP53	13	0.4091695594330734	0.2084763591110739	0.6546263900889246	0.0	0.0	500
primary::BRCA1+PIK3CA+TP53	8	0.24848390356641376	0.0930302639795833	0.4607346809625763	0.0	0.0	500
primary::NF1+PIK3CA	19	0.6093385671659057	0.36044795141820546	0.9193466635928472	0.0	0.0	500
metastatic::PIK3CA+PTEN+TP53	20	0.6366304525520079	0.36619542058406085	0.997361087283333	0.0	0.0	500
metastatic::PIK3CA+RB1+TP53	11	0.3444972925490174	0.1456071340551205	0.6139418050075612	0.0	0.0	500
primary::MAP3K1	61	1.950342443604923	1.4629164646791466	2.604305712668978	0.0	0.0	500
primary::CBFB+GATA3	36	1.1805370697274378	0.8302184600699557	1.5917007976737503	0.0	0.0	500
metastatic::ESR1+PIK3CA	59	1.9399310822533713	1.3604049574324315	2.5572028784328147	0.0	0.0	500
primary::PIK3CA+PTEN	41	1.3583645172827714	0.9870913954403151	1.8330631841077698	0.0	0.0	500
primary::AKT1+GATA3	27	0.900546686652695	0.562139457943396	1.2736372210286233	0.0	0.0	500
metastatic::ESR1+GATA3+PIK3CA	14	0.47708162315454367	0.2431208022557053	0.7966790234701596	0.0	0.0	500
primary::ESR1	25	0.8401411004938995	0.520250947518327	1.2012420734870337	0.0	0.0	500
metastatic::BRCA1+TP53	29	0.9934334670356325	0.6525282485082426	1.3766213171386326	0.0	0.0	500
metastatic::PIK3CA+RUNX1+TP53	12	0.42178084868342425	0.20740160932601107	0.6585833606172407	0.0	0.0	500
metastatic::MAP3K1+TP53	25	0.9128953737679968	0.5601387725099654	1.2892192089995764	0.0	0.0	500
primary::ATM+PIK3CA	20	0.7573251541739245	0.4256633944663519	1.1487175734073083	0.0	0.0	500
metastatic::ESR1+GATA3	52	2.0116195060567046	1.4218775822125995	2.7167287137184033	0.0	0.002	500
primary::AKT1	78	3.135374932900997	2.3775905183185473	3.9192810553503366	0.056	0.352	500
metastatic::MAP2K4+PIK3CA	15	0.6399431197119425	0.34100294104196527	0.9552161796527786	0.0	0.0	500
metastatic::CBFB+PIK3CA	11	0.45728826419381574	0.2212444381562605	0.8098664476171544	0.0	0.0	500
metastatic::ESR1+MAP3K1+PIK3CA	17	0.7033835538977439	0.38371435286304134	1.148628101945273	0.0	0.0	500
primary::CBFB+GATA3+MAP3K1+PIK3CA	4	0.15809659816306282	0.03444534764066172	0.36806716768170744	0.0	0.0	500
metastatic::GATA3+PIK3CA+TP53	9	0.37137138056478036	0.17656609521354705	0.7078065861832505	0.0	0.0	500
metastatic::ATM+TP53	21	0.9182100319805471	0.540187842433068	1.2881638964424023	0.0	0.0	500
primary::BRCA2+PIK3CA	21	0.9074080257568617	0.5261422967051868	1.37522619398391	0.0	0.0	500
metastatic::MAP2K4+PIK3CA+TP53	14	0.6128858888696795	0.31600143918811513	1.0040190915653768	0.0	0.0	500
primary::MAP3K1+PIK3CA+RUNX1	8	0.3479398044068391	0.13085967018696046	0.6629458849838156	0.0	0.0	500
metastatic::ESR1+TP53	28	1.2510073196724427	0.8072471245509778	1.7296342136427616	0.0	0.0	500
metastatic::CBFB+GATA3+PIK3CA	7	0.30526440952411693	0.1097094857059618	0.604682751434894	0.0	0.0	500
metastatic::BRCA2+PIK3CA+TP53	10	0.4585270081024718	0.18646516039698785	0.7947239932507002	0.0	0.0	500
primary::CBFB+PIK3CA+TP53	5	0.2354365167477795	0.04987548672223298	0.47758010457586786	0.0	0.0	500
metastatic::ATM+PIK3CA+TP53	6	0.2905786067287005	0.09164003490273154	0.5654853949688556	0.0	0.0	500
primary::PIK3CA+RB1	13	0.6737439388324211	0.34482798118677904	1.0861272868342078	0.0	0.0	500
metastatic::PTEN	40	2.246573211709612	1.5394516027891056	3.090875484328485	0.0	0.006	500
metastatic::MAP2K4+TP53	7	0.3765088501844584	0.1582053699048149	0.7014458037666941	0.0	0.0	500
primary::GATA3+MAP3K1	17	0.97633085708446	0.5087540568766785	1.4660392393271726	0.0	0.0	500
primary::AKT1+PIK3CA	9	0.5054247610635842	0.20715672179138767	0.9022446273841465	0.0	0.0	500
primary::GATA3+MAP2K4+PIK3CA	5	0.29615144932664167	0.060044297555759914	0.589541717028705	0.0	0.0	500
primary::MAP3K1+PIK3CA+PTEN	8	0.465763625387117	0.16132648061678623	0.8970224579812973	0.0	0.0	500
metastatic::RUNX1+TP53	19	1.1465330575394597	0.6090248008753552	1.7242839715649443	0.0	0.0	500
primary::BRCA2	37	2.2711947285203395	1.5756340417962107	3.069905985849549	0.0	0.006	500
metastatic::ESR1+PIK3CA+TP53	13	0.8077233189136781	0.393376632704448	1.335395716888571	0.0	0.0	500
metastatic::CBFB+GATA3	7	0.4402881426617885	0.12838312552727585	0.8190121484090072	0.0	0.0	500
metastatic::MAP3K1	22	1.4012258016002719	0.8970399444880047	2.1076851873969416	0.0	0.0	500
metastatic::AKT1+GATA3	13	0.8263792416113618	0.3828261689810067	1.3296247899355809	0.0	0.0	500
metastatic::BRCA1+PIK3CA+TP53	10	0.6535695299947474	0.2740281376879998	1.1440957563933944	0.0	0.0	500
metastatic::ESR1	75	5.148957616914996	3.9562252466999075	6.602245658887319	0.964	0.998	500
primary::MAP3K1+NF1+PIK3CA	6	0.4146872324213593	0.12445218528091578	0.7544004588646644	0.0	0.0	500
primary::AKT1+PIK3CA+TP53	3	0.2052512890548055	0.0	0.48907658104705237	0.0	0.0	500
primary::NF1	28	2.010458090819451	1.3236682851902104	2.7501972809132265	0.0	0.0	500
metastatic::PIK3CA+PTEN	10	0.7367031725789159	0.29327077959865633	1.2603927275997564	0.0	0.0	500
primary::MAP2K4	35	2.587383856213633	1.7689579733685783	3.566291589278847	0.01	0.066	500
primary::ESR1+PIK3CA+TP53	5	0.37063829308189156	0.07968534066572706	0.8235556744320283	0.0	0.0	500
metastatic::GATA3+MAP3K1+PIK3CA	2	0.14514841063165845	0.0	0.39247845821853694	0.0	0.0	500
primary::GATA3+PTEN	18	1.3647131625502062	0.7966104966156615	2.045855875559045	0.0	0.0	500
primary::ATM+GATA3	16	1.2116049253310657	0.661589933181227	1.9665311995482924	0.0	0.0	500
metastatic::AKT1	42	3.3230426961450075	2.301647192891047	4.479669661376382	0.212	0.528	500
primary::ESR1+MAP3K1+PIK3CA	1	0.07891114864447238	0.0	0.2848409561352553	0.0	0.0	500
metastatic::PIK3CA+RUNX1	5	0.38631558509356423	0.08097978710800874	0.8566770625472144	0.0	0.0	500
metastatic::NF1+PIK3CA	12	0.955464850240453	0.43054388662262133	1.564597401752241	0.0	0.0	500
primary::ATM+MAP3K1+PIK3CA	4	0.304990186212881	0.066998923504448	0.6735003804401104	0.0	0.0	500
metastatic::ATM+PIK3CA	8	0.6317090988795844	0.2572472912974237	1.2087265665078755	0.0	0.0	500
metastatic::BRCA2+PIK3CA	13	1.1054739106323346	0.5621028134770637	1.8893772836834284	0.0	0.0	500
primary::AKT1+CBFB+GATA3	10	0.8441780015791713	0.34175561376843644	1.4838427468657727	0.0	0.0	500
primary::ATM	24	2.0582455070988637	1.2433877564602804	2.8678240626177214	0.0	0.002	500
primary::MAP3K1+PIK3CA+RUNX1+TP53	1	0.08430107076863563	0.0	0.31288903034814197	0.0	0.0	500
unknown::PIK3CA+TP53	11	0.9503197623913635	0.389554910555568	1.7557773058753956	0.0	0.0	500
primary::MAP2K4+MAP3K1+PIK3CA	1	0.0848193855309235	0.0	0.2809151112878099	0.0	0.0	500
primary::BRCA2+MAP3K1+PIK3CA	1	0.08383637450154074	0.0	0.3197832152357337	0.0	0.0	500
primary::BRCA1+PIK3CA	10	0.8868944545867077	0.4122040732423164	1.5678475119624598	0.0	0.0	500
primary::PTEN+RB1+TP53	12	1.0435414739717204	0.4868501530958937	1.7582999078862263	0.0	0.0	500
metastatic::CBFB+PIK3CA+TP53	2	0.1742737262630673	0.0	0.46382119895518065	0.0	0.0	500
primary::BRCA1	17	1.558811558136592	0.8911579589422556	2.4466393194285616	0.0	0.0	500
primary::MAP3K1+NF1+PIK3CA+TP53	3	0.2646563726474689	0.0	0.6628733717713502	0.0	0.0	500
primary::GATA3+MAP2K4	16	1.442965773186871	0.8027890399636264	2.2749850813697985	0.0	0.0	500
primary::ATM+GATA3+PIK3CA	4	0.350508914322943	0.08379685271785207	0.8520839414926775	0.0	0.0	500
primary::RB1	18	1.6892793963487558	0.9250171506548917	2.4774499521383144	0.0	0.0	500
primary::GATA3+PIK3CA+PTEN	4	0.3720625344997963	0.08348561267580522	0.8311479821519119	0.0	0.0	500
primary::ESR1+GATA3+PIK3CA	2	0.19240996652064168	0.0	0.5602791251252544	0.0	0.0	500
unknown::ESR1	5	0.4867025277688562	0.10249593274175897	0.9929941538948391	0.0	0.0	500
primary::CBFB+MAP2K4+PIK3CA	3	0.30136492180461144	0.0	0.7581995220951468	0.0	0.0	500
metastatic::MAP3K1+NF1+PIK3CA+TP53	2	0.2041497172750965	0.0	0.575159883672276	0.0	0.0	500
metastatic::CBFB+MAP3K1+PIK3CA	3	0.3259825021751046	0.0	0.7603639164285808	0.0	0.0	500
primary::BRCA2+GATA3	6	0.6612203424719474	0.21335491120732805	1.276386156398363	0.0	0.0	500
metastatic::AKT1+PIK3CA+TP53	3	0.3259602228945904	0.0	0.8380461223228027	0.0	0.0	500
primary::AKT1+NF1+TP53	3	0.3331509220762651	0.0	0.828920815665202	0.0	0.0	500
primary::BRCA1+NF1+TP53	3	0.33072765531206966	0.0	0.8204693225199359	0.0	0.0	500
primary::BRCA1+BRCA2+TP53	6	0.6956284971996054	0.20356002211071483	1.3745648196646767	0.0	0.0	500
primary::MAP3K1+PIK3CA+PTEN+TP53	2	0.22949826371886622	0.0	0.6601654231283652	0.0	0.0	500
primary::NF1+PTEN+TP53	5	0.5586693707897759	0.11319707176923365	1.1880493446261104	0.0	0.0	500
primary::AKT1+RB1+TP53	4	0.4768104718090429	0.1053402519333181	0.9936300648982543	0.0	0.0	500
primary::GATA3+PIK3CA+RUNX1	8	0.9458139916201025	0.37373306244214294	1.812336146402933	0.0	0.0	500
primary::NF1+RB1+TP53	2	0.23881076426073491	0.0	0.6926693395343481	0.0	0.0	500
metastatic::PIK3CA+RB1	12	1.4682015946029308	0.7419375631732354	2.478155219375848	0.0	0.0	500
metastatic::BRCA2	27	3.2948698102206455	2.2077463592956756	4.678823615592192	0.26	0.506	500
primary::AKT1+MAP3K1+PIK3CA	3	0.37017565368377003	0.0	0.8935022922946684	0.0	0.0	500
metastatic::ESR1+MAP2K4+PIK3CA	5	0.6222498952230062	0.13685712645767986	1.3042627324713516	0.0	0.0	500
primary::BRCA2+RB1+TP53	7	0.8327926976505384	0.2890431949245959	1.6505696494914819	0.0	0.0	500
primary::CBFB+TP53	6	0.7453656605309604	0.22997195180245958	1.4384400375563104	0.0	0.0	500
metastatic::GATA3+MAP3K1	6	0.7352638338791717	0.23553878112763318	1.44164327821646	0.0	0.0	500
primary::AKT1+MAP3K1	11	1.3319152215447363	0.6187775532064881	2.3190940738351142	0.0	0.0	500
primary::BRCA1+RB1+TP53	3	0.3749591497143321	0.0	0.8955391368909996	0.0	0.0	500
metastatic::AKT1+PIK3CA	5	0.6678220120156446	0.1371441380750637	1.353344652822172	0.0	0.0	500
primary::CBFB+GATA3+MAP2K4+PIK3CA	1	0.1322965386917553	0.0	0.4992480762571553	0.0	0.0	500
primary::RUNX1	18	2.393724046141926	1.4232402636985622	3.5479561565203013	0.012	0.066	500
metastatic::PTEN+RB1+TP53	4	0.5261827907275557	0.11764114710352462	1.1272167295354605	0.0	0.0	500
primary::CBFB+GATA3+PIK3CA+RUNX1	1	0.12525227390007845	0.0	0.49113762055705534	0.0	0.0	500
metastatic::CBFB+ESR1+GATA3+PIK3CA	1	0.12130572932017232	0.0	0.44675740940990805	0.0	0.0	500
metastatic::ATM+GATA3	8	1.0813375491805237	0.4319691615738502	1.9852157018582228	0.0	0.0	500
metastatic::NF1	10	1.3930521175471762	0.6126079571630807	2.365413578586167	0.0	0.0	500
primary::PIK3CA+PTEN+RB1+TP53	2	0.27689851720054437	0.0	0.8245479202552288	0.0	0.0	500
metastatic::MAP2K4	19	2.799317132850513	1.62512616348885	4.141617813286016	0.072	0.206	500
metastatic::GATA3+PTEN	9	1.3357606105066626	0.5296034304726335	2.346503790858774	0.0	0.0	500
primary::NF1+PIK3CA+PTEN+TP53	2	0.28240433153093686	0.0	0.8986318665710094	0.0	0.0	500
primary::CBFB	8	1.1691935848528563	0.4354906717909443	2.1039196498938217	0.0	0.0	500
metastatic::AKT1+ESR1+GATA3	4	0.6117668877298251	0.0	1.417071903856348	0.0	0.0	500
primary::BRCA1+MAP3K1+PIK3CA	2	0.2995974563736454	0.0	0.867797525070534	0.0	0.0	500
primary::MAP2K4+PIK3CA+PTEN	1	0.1501208224778487	0.0	0.5740202888737154	0.0	0.0	500
primary::GATA3+RUNX1	7	1.0530697973327552	0.3314823386725413	1.974034979682122	0.0	0.0	500
primary::GATA3+NF1	8	1.2392748643852887	0.4603569117623489	2.2777929113098665	0.0	0.0	500
primary::GATA3+NF1+PIK3CA	2	0.31213918679245495	0.0	0.8903274084301915	0.0	0.0	500
primary::BRCA2+NF1+TP53	4	0.6435617206885055	0.15432787764577716	1.4342796773474673	0.0	0.0	500
primary::GATA3+RB1+TP53	1	0.15796682867755824	0.0	0.5155835275559082	0.0	0.0	500
primary::MAP3K1+PIK3CA+RB1	1	0.15427133440024257	0.0	0.5626446412634026	0.0	0.0	500
