state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::PIK3CA+TP53	primary	PIK3CA+TP53	2	452	0.041225829989055086	0.06306525979196309	2	0.06306525979196309	0.0	primary::TP53	0.42183962563328986	0.05525006406506788	rule_a_one_step	True	True	True	stable	True	0.6537011046080733	0.95504427236768	-0.06636048211085872	True	fast_passing	0.870661560644892	0.7556237725936624	0.9847994272385444	0.0	0.0	500
primary::TP53	primary	TP53	1	1436	0.13097409704487414	0.05210057055787009	1	0.05210057055787009	0.0	primary::WT	0.47761760501378564	0.05210057055787009	rule_a_one_step	True	True	True	stable	True	2.5138706858667192	3.672714919840095	1.8768469168442274	True	relative_bottleneck	3.309527204308004	2.9659413447423466	3.721610853191451	0.042	0.574	500
metastatic::PIK3CA+TP53	metastatic	PIK3CA+TP53	2	264	0.024078803356439256	0.030457299245532088	2	0.030457299245532088	0.0	metastatic::TP53	0.42183962563328986	0.027355707207704225	rule_a_one_step	True	True	True	stable	True	0.7905757881398793	1.1550154543309783	0.2079121553101643	True	relative_bottleneck	1.0450443343549383	0.893573752777122	1.2171909120942632	0.0	0.0	500
metastatic::TP53	metastatic	TP53	1	711	0.06484859540313755	0.025963160579005495	1	0.025963160579005495	0.0	metastatic::WT	0.47761760501378564	0.025963160579005495	rule_a_one_step	True	True	True	stable	True	2.4977157616580064	3.6491128978650584	1.8675457863486584	True	relative_bottleneck	3.2958662145024884	2.865064870084387	3.817490586632406	0.03	0.522	500
primary::MAP3K1+PIK3CA	primary	MAP3K1+PIK3CA	2	158	0.014410798978475008	0.021356662919357415	2	0.021356662919357415	0.0	primary::PIK3CA	0.2712121874694701	0.01894824294067987	rule_a_one_step	True	True	True	stable	True	0.6747682927906528	0.9858230140079095	-0.020599433813776852	True	fast_passing	0.9019264911156636	0.7360155688021983	1.0651217888285809	0.0	0.0	500
primary::GATA3+PIK3CA	primary	GATA3+PIK3CA	2	115	0.010488872674206494	0.0201215401791702	2	0.0201215401791702	0.0	primary::GATA3	0.3705118826851168	0.01121944044613816	rule_a_one_step	True	True	True	stable	True	0.5212758357604896	0.7615735964913385	-0.39294463314187705	True	fast_passing	0.6901789795811353	0.5511001626166652	0.8432109952074891	0.0	0.0	500
primary::PIK3CA	primary	PIK3CA	1	766	0.06986501276906239	0.019888108039507524	1	0.019888108039507524	0.0	primary::WT	0.1823187429307362	0.019888108039507524	rule_a_one_step	True	True	True	stable	True	3.5129039236293043	5.132282549303011	2.359600597796514	True	relative_bottleneck	4.643853398121509	4.098867622712996	5.24328898994341	0.978	1.0	500
unknown::TP53	unknown	TP53	1	33	0.003009850419554907	0.017468502335874502	1	0.017468502335874502	0.0	unknown::WT	0.47761760501378564	0.017468502335874502	rule_a_one_step	True	True	True	stable	True	0.17230157236784818	0.25172915977940424	-1.9900557499320835	True	fast_passing	0.2276127603521905	0.1458504541483027	0.32864700197895613	0.0	0.0	500
primary::MAP3K1+PIK3CA+TP53	primary	MAP3K1+PIK3CA+TP53	3	32	0.002918642831083546	0.012255389977173261	3	0.012255389977173261	0.0	primary::PIK3CA+TP53	0.23004635936318948	0.00948385210070792	rule_a_one_step	True	True	True	stable	True	0.23815177128444076	0.347934986672216	-1.5231103381467153	True	fast_passing	0.31973180672273044	0.20627256760898632	0.4530129229698085	0.0	0.0	500
primary::PTEN+TP53	primary	PTEN+TP53	2	85	0.0077526450200656695	0.011965491546796101	2	0.011965491546796101	0.0	primary::TP53	0.06533635677841977	0.008557370333255272	rule_a_one_step	True	True	True	stable	True	0.6479169693194604	0.9465937661056453	-0.07918267380209057	True	fast_passing	0.8564587286962446	0.6810227313271158	1.0818148549180462	0.0	0.0	500
primary::GATA3	primary	GATA3	1	332	0.03028091937249179	0.011571218649248156	1	0.011571218649248156	0.0	primary::WT	0.10607595423942875	0.011571218649248156	rule_a_one_step	True	True	True	stable	True	2.6169170497735244	3.8232636017128505	1.9348046727787545	True	relative_bottleneck	3.466426884147208	3.0006250970401767	4.034390123491573	0.16	0.802	500
