target_event	TP53	PIK3CA	GATA3	MAP3K1	PTEN	ESR1	AKT1	NF1	BRCA1	BRCA2	RB1	MAP2K4	CBFB	RUNX1	ATM
TP53	0.5225565275654588	-3.5189357836811888	-3.244490280166634	-1.3498016986186092	-0.38806909137076295	-1.8309579935034708	-1.5643332122498605	-0.010702040644866134	0.00044219316955806964	-1.383832358454651	0.001599221057454175	-1.2903573055090793	-0.9298183006260791	-0.3772497284862271	-1.1607680108187421
PIK3CA	-0.5201198918523132	-0.4404974051902198	-0.6696709988158176	0.5282121736818459	-0.20401542704360964	-0.009761281994725571	-1.778920986412112	0.3982729014738391	-0.4195332062245726	-0.14209201404544777	-0.5934646809098549	-0.001252492150464477	0.0019225229532669086	-0.0005368657594242873	-0.031232769040049277
GATA3	-1.8515698162090533	-1.884063582420743	-0.9820985083110487	-0.13098517104930585	-0.49516110355955933	-0.0030634158632823027	-0.9117706983570081	-0.0025152360406570412	-0.5951255787343775	-0.5883386966417818	-0.21182455382971904	-0.09262345767653722	-0.0001166902378504462	-0.09919375032847594	-0.002670546471547432
MAP3K1	-1.0764938459828994	0.007984997511128104	-1.1085534659827552	-2.118723055793708	-0.30369819419207894	-0.0016826407630039272	-0.00010740372742752	0.11925833838294911	0.00473866350899705	-0.0007407746967451825	-0.14125387177041132	-0.9879215903906937	-0.00011340064565698527	0.007515655605216231	0.0028721490655167045
PTEN	-0.8570629323928105	-2.352839306765883	-1.6693896161461075	-0.007547375696947858	-1.9686309256977985	-0.49014034841530985	-1.3710814439335066	-0.0002158055109752156	-0.0714754799393745	-0.006529929088653541	-0.0016352985691089207	-0.07172456942308232	-0.0021652005066328693	-0.004505705751047353	-0.046186232855634224
ESR1	-1.5453785575679206	-1.647417111943793	-0.10708731229762324	-0.003357255400159194	-0.5458263162103028	-2.1769464362553763	-0.43668377778019907	-0.010134244064344523	-0.0021595970892762714	0.0019367834339831874	-0.0031051405197296015	0.00024359175815821956	-0.004971391020738513	-0.037977055376429536	-0.001024663598056776
AKT1	-0.8346780056539327	-2.3770428267643986	-0.20321786074371023	-0.0011175006596270893	-0.9051616640713723	-0.12861571431104546	-2.3300768393814257	0.000345626525245708	-0.005571699448021432	-0.23629662440352586	-0.0034115907471256525	-0.0012464966298486064	0.0009415868207647527	0.0007193042885353332	-0.009700864177952745
NF1	0.005459768537083291	-0.99873261585855	-1.3091142078040052	0.00913719281290559	0.0009402680956675991	-0.5536880888885886	0.168143118762961	-2.905192370984942	0.513872375624412	0.3933103401261985	-0.002114160629214558	0.014120105942094813	-0.0011412666307648116	0.0031853489332077773	0.4301699047328346
BRCA1	0.003770837053295388	-1.7375297707166673	-0.8786455405866691	-0.0013558040669187893	-0.4270557515511835	-0.04856191039931784	-0.32640176897083817	0.00014441715059539188	-3.1649370097897616	0.0013888139090233943	-0.0005932574537459841	-0.004236723746462543	-0.0016829782937057168	-0.0003394192194410444	0.0006949948349809425
BRCA2	-0.1484575413379091	-1.6839273463602442	-1.0912614040795325	-0.0009857398671134173	-0.20921003576544553	0.0020975417904076183	-0.3411912195207549	0.0015493054703447184	0.5621448771572016	-2.758469877688991	0.05551034649982046	-0.30791148890434106	-0.0028363816186473315	0.000867685153938226	0.0021511662013880416
RB1	0.3265944597089227	-1.1234754551028263	-1.1003422477743452	-0.5526582112851265	-0.0012017908916936335	-0.0033873485190809164	-0.3223832749189189	-0.0036232780716970022	-5.235569141850396e-05	0.0037034827222673637	-3.1765011472720337	-0.07362553651924054	-0.0019779299319860155	-0.00021148872025920427	4.856079425474123e-05
MAP2K4	-0.7574570116133388	-0.3251294320738513	-0.83065886172536	-1.2002085024025473	-0.06271997233469614	-0.00044054280535400434	-0.0002830179194890413	0.0023716992299009573	-0.0032122787103302714	-0.5328526988231846	-0.05436549513854608	-2.9461033983715392	-0.011421049976199858	-0.00423711020535795	-0.005066922264023317
CBFB	-1.6033766793519744	0.5522462081878373	1.401176956115819	-0.0011253600240713729	-0.5822378873481272	-0.8025030502746598	0.6874871912922216	-0.002114801632732404	-0.0008987491743044909	-0.2775533225576692	-0.002276368790095254	-0.05092278258360343	-3.6576264551291113	-0.028816292246902166	-0.6338885994817195
RUNX1	-0.14329988087967777	-0.2646828716438782	-0.5517636845055786	0.39105089407738286	-0.32778300717449976	-0.056341541000344955	0.26829444075392844	0.0037502250360019126	0.652802129994028	0.08797214949308751	0.0005482880889013391	-0.0034052458502548096	-0.002054042528726477	-3.53548435491457	0.31496361179443927
ATM	-0.3026251182854337	-1.029742893579138	-0.2768136184585809	0.0024876519646253744	-0.22397039658347717	-0.0011579955851436954	-0.053096571614717064	0.0022738029876250994	0.6999858927120043	0.6613926683167836	0.00044321701343367316	-0.0054791559173655545	-0.3913444394390589	0.0020236554145691547	-3.0774032895611354
