rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
1	metastatic::ESR1	metastatic	ESR1	1	75	0.0068405691353520615	0.001745734996907423	1	0.001745734996907423	0.0	metastatic::WT	0.03211449413773991	0.001745734996907423	rule_a_one_step	True	True	True	stable	True	3.918446467276942	5.724772114919255	2.517218265223657	True	relative_bottleneck	5.148957616914996	3.9562252466999075	6.602245658887319	0.964	0.998	500
2	primary::PIK3CA	primary	PIK3CA	1	766	0.06986501276906239	0.019888108039507524	1	0.019888108039507524	0.0	primary::WT	0.1823187429307362	0.019888108039507524	rule_a_one_step	True	True	True	stable	True	3.5129039236293043	5.132282549303011	2.359600597796514	True	relative_bottleneck	4.643853398121509	4.098867622712996	5.24328898994341	0.978	1.0	500
3	metastatic::PIK3CA	metastatic	PIK3CA	1	304	0.027727106895293688	0.009910796314002077	1	0.009910796314002077	0.0	metastatic::WT	0.1823187429307362	0.009910796314002077	rule_a_one_step	True	True	True	stable	True	2.7976669092999997	4.0873355404860305	2.0311606829780584	True	relative_bottleneck	3.711074910285876	3.147101008693704	4.318082180792978	0.422	0.944	500
4	metastatic::ESR1+PTEN	metastatic	ESR1+PTEN	2	12	0.0010944910616563297	0.00041052150590205035	2	0.00041052150590205035	0.0	metastatic::ESR1	0.04534054983282256	0.0003101551657662981	rule_a_one_step	True	True	True	stable	True	2.6660992012715017	3.8951177438578672	1.9616669395609814	True	relative_bottleneck	3.398882170622659	1.6035934207581193	6.047511017146768	0.366	0.526	500
5	metastatic::GATA3	metastatic	GATA3	1	168	0.015322874863188618	0.005766259460662125	1	0.005766259460662125	0.0	metastatic::WT	0.10607595423942875	0.005766259460662125	rule_a_one_step	True	True	True	stable	True	2.6573335738818447	3.8823113371175566	1.956915817821017	True	relative_bottleneck	3.5047624806692954	2.9015905931067705	4.297725777160754	0.22	0.792	500
6	primary::GATA3	primary	GATA3	1	332	0.03028091937249179	0.011571218649248156	1	0.011571218649248156	0.0	primary::WT	0.10607595423942875	0.011571218649248156	rule_a_one_step	True	True	True	stable	True	2.6169170497735244	3.8232636017128505	1.9348046727787545	True	relative_bottleneck	3.466426884147208	3.0006250970401767	4.034390123491573	0.16	0.802	500
7	metastatic::AKT1	metastatic	AKT1	1	42	0.0038307187157971545	0.001497871747358115	1	0.001497871747358115	0.0	metastatic::WT	0.027554808453077808	0.001497871747358115	rule_a_one_step	True	True	True	stable	True	2.5574410626251405	3.736370371046622	1.901637470569064	True	relative_bottleneck	3.3230426961450075	2.301647192891047	4.479669661376382	0.212	0.528	500
8	metastatic::BRCA2	metastatic	BRCA2	1	27	0.002462604888726742	0.0009759462431813158	1	0.0009759462431813158	0.0	metastatic::WT	0.01795348088966434	0.0009759462431813158	rule_a_one_step	True	True	True	stable	True	2.52329972414877	3.686490556659016	1.8822480613563635	True	relative_bottleneck	3.2948698102206455	2.2077463592956756	4.678823615592192	0.26	0.506	500
9	primary::TP53	primary	TP53	1	1436	0.13097409704487414	0.05210057055787009	1	0.05210057055787009	0.0	primary::WT	0.47761760501378564	0.05210057055787009	rule_a_one_step	True	True	True	stable	True	2.5138706858667192	3.672714919840095	1.8768469168442274	True	relative_bottleneck	3.309527204308004	2.9659413447423466	3.721610853191451	0.042	0.574	500
10	metastatic::TP53	metastatic	TP53	1	711	0.06484859540313755	0.025963160579005495	1	0.025963160579005495	0.0	metastatic::WT	0.47761760501378564	0.025963160579005495	rule_a_one_step	True	True	True	stable	True	2.4977157616580064	3.6491128978650584	1.8675457863486584	True	relative_bottleneck	3.2958662145024884	2.865064870084387	3.817490586632406	0.03	0.522	500
