state	N_v	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::EGFR+TP53	1085	1.180080733756125	1.070829122792514	1.3038715656165991	0.0	0.0	500
unknown::EGFR	121	0.15287898254299342	0.12187333201234962	0.18083648719720197	0.0	0.0	500
primary::KRAS+TP53	687	0.9278576078930092	0.8344603473673867	1.025318386509833	0.0	0.0	500
unknown::KRAS	74	0.10004033250930573	0.07666917446904029	0.12813444854966471	0.0	0.0	500
unknown::TP53	97	0.16979629867864834	0.13600958372851293	0.2039858283391932	0.0	0.0	500
metastatic::EGFR+TP53	1121	2.2347666879373267	2.002442673371512	2.4650723423234	0.0	0.0	500
primary::EGFR	1292	3.188450318366349	2.9121132882516347	3.4938871540808742	0.0	0.19	500
primary::KRAS	1461	3.878470838072621	3.551405302946617	4.2945423276904195	0.0	0.948	500
primary::TP53	862	2.9479667897644477	2.6624583180740906	3.2778509105964733	0.0	0.026	500
metastatic::KRAS+TP53	459	1.7141989784190481	1.5144435967440035	1.972919495179977	0.0	0.0	500
metastatic::EGFR	658	2.466436389620148	2.2176113727548263	2.763553257756521	0.0	0.0	500
metastatic::KRAS	472	1.9035801479374248	1.6902960817367847	2.1456710403942036	0.0	0.0	500
primary::EGFR+PIK3CA+TP53	64	0.2767228386806654	0.20872463423937349	0.35168634889725936	0.0	0.0	500
primary::EGFR+RBM10+TP53	80	0.36389801608071304	0.2819216844433806	0.4534064477634637	0.0	0.0	500
metastatic::EGFR+PIK3CA+TP53	71	0.3337035800974392	0.2629731490250964	0.41169887418626794	0.0	0.0	500
metastatic::TP53	881	4.582434285649589	4.118619688064355	5.131226578172447	0.002	1.0	500
primary::KRAS+STK11	237	1.270124625740928	1.0976290381396308	1.4663989363628507	0.0	0.0	500
primary::KRAS+STK11+TP53	66	0.3853799815915932	0.2945346307881993	0.48735306463958783	0.0	0.0	500
metastatic::EGFR+RBM10+TP53	62	0.407475003486106	0.3039335158051561	0.5181145459676801	0.0	0.0	500
primary::KEAP1+KRAS+STK11	134	0.8889781004380637	0.7190712237942829	1.0949053384376188	0.0	0.0	500
unknown::STK11	8	0.05460477022512027	0.020402529163795577	0.09374210594081948	0.0	0.0	500
metastatic::STK11+TP53	63	0.4622250728275603	0.3448934473426004	0.5950031211163685	0.0	0.0	500
primary::STK11+TP53	108	0.8037765161792569	0.6596964326405044	0.9796052744422915	0.0	0.0	500
primary::CDKN2A+EGFR+TP53	41	0.3258233945400614	0.2235653358627845	0.42889449191635415	0.0	0.0	500
primary::ATM+EGFR+TP53	28	0.2372380337030784	0.15360180917214888	0.3249977286627148	0.0	0.0	500
metastatic::ATM+EGFR+TP53	47	0.4055323889941109	0.296038523106175	0.5246146762891069	0.0	0.0	500
metastatic::CDKN2A+EGFR+TP53	41	0.3549819995070021	0.2537498954027699	0.4785748595797885	0.0	0.0	500
metastatic::KRAS+STK11+TP53	46	0.40902153037908373	0.2926291969727675	0.5401698300504726	0.0	0.0	500
unknown::MET	13	0.11699005336800652	0.061029163552008464	0.18348055602857075	0.0	0.0	500
primary::CDKN2A+KRAS+TP53	69	0.6459701415522254	0.47213131617162896	0.8267663620092381	0.0	0.0	500
primary::NF1+TP53	89	0.8651832651037779	0.6936175218098433	1.031231832857286	0.0	0.0	500
metastatic::EGFR+NF1+TP53	30	0.29530923677586374	0.18511041091699376	0.40709644924733357	0.0	0.0	500
primary::KRAS+RBM10	155	1.527064352111391	1.2794977162641683	1.8221212974710246	0.0	0.0	500
primary::EGFR+NF1+TP53	31	0.3049747143901594	0.19852644090128435	0.42004847067733564	0.0	0.0	500
primary::BRAF+TP53	87	0.8684974156586619	0.6952950772761354	1.070098688599262	0.0	0.0	500
primary::ATM+KRAS	146	1.4831271198803306	1.240500225785943	1.7514453389249165	0.0	0.0	500
metastatic::NF1+TP53	79	0.8022684481420422	0.6374929637590095	1.014615968323526	0.0	0.0	500
primary::KRAS+RBM10+TP53	49	0.5042390050922076	0.3731803295846401	0.6642687582253959	0.0	0.0	500
primary::ARID1A+EGFR+TP53	34	0.354457698346831	0.2255900514402021	0.4823616231457794	0.0	0.0	500
primary::MET+TP53	87	0.9244496710466918	0.7110845022323179	1.1628636913767074	0.0	0.0	500
primary::ATM+KRAS+TP53	30	0.32406380565469806	0.21110182748217957	0.45960323330683833	0.0	0.0	500
metastatic::ARID1A+EGFR+TP53	37	0.3947789389574787	0.2636302114973434	0.5202259433174562	0.0	0.0	500
unknown::EGFR+TP53	161	1.8478627036758497	1.4690868865232605	2.2873413565281333	0.0	0.0	500
metastatic::EGFR+STK11+TP53	19	0.22219163956032212	0.1321085932609412	0.33764883646836963	0.0	0.0	500
primary::EGFR+STK11+TP53	7	0.0855404260959308	0.025177638784188407	0.1628980458143319	0.0	0.0	500
primary::EGFR+SMARCA4+TP53	18	0.2229712946990553	0.12722941997866027	0.355176867783994	0.0	0.0	500
unknown::ATM	17	0.21759178902149823	0.12086822542263438	0.32752291278381795	0.0	0.0	500
metastatic::BRAF+TP53	81	1.057946313978443	0.8162459940520693	1.3511170399942267	0.0	0.0	500
unknown::BRAF	10	0.1223673652841071	0.045592541324667286	0.22461446491538364	0.0	0.0	500
metastatic::CDKN2A+TP53	60	0.802345554006511	0.6135838420519243	1.0146592284571319	0.0	0.0	500
unknown::RBM10	1	0.01320056547167043	0.0	0.04078038196934584	0.0	0.0	500
primary::EGFR+SETD2+TP53	23	0.3092381076257691	0.18284782179418746	0.4500313934272171	0.0	0.0	500
primary::CDKN2A+TP53	56	0.7524971229513202	0.5559103193206821	0.9793963906318486	0.0	0.0	500
primary::KRAS+PIK3CA+TP53	40	0.5437534656216566	0.3659547133208292	0.7316011084231953	0.0	0.0	500
primary::KRAS+NF1+TP53	39	0.52069740329782	0.3684124257155291	0.6992619819392405	0.0	0.0	500
primary::STK11	111	1.5106815725800882	1.2230515287047796	1.8307261853079912	0.0	0.0	500
primary::EGFR+RBM10	212	3.021539970209915	2.5411478729786436	3.5548498794125583	0.0	0.088	500
metastatic::BRAF+EGFR+TP53	19	0.266799298565293	0.16074064799015247	0.39639773468698064	0.0	0.0	500
metastatic::EGFR+SMARCA4+TP53	37	0.5287794882487412	0.37117561266604565	0.7366247425847303	0.0	0.0	500
primary::BRAF+EGFR+TP53	11	0.1580313658605623	0.0773138303383922	0.2614258244459116	0.0	0.0	500
primary::ARID1A+KRAS+TP53	34	0.4929411351649271	0.31944191200721295	0.7185309714426679	0.0	0.0	500
unknown::KEAP1	2	0.02952005960928865	0.0	0.08821710261202026	0.0	0.0	500
primary::KEAP1+KRAS+TP53	31	0.47008210553963536	0.29776403366608833	0.6740715365339074	0.0	0.0	500
primary::EGFR+KRAS	18	0.26899538444424903	0.1552790034727961	0.41555108287350473	0.0	0.0	500
primary::KEAP1+TP53	50	0.789898104932645	0.5823682581394184	1.0654804312224688	0.0	0.0	500
metastatic::KEAP1+TP53	69	1.1066345480522126	0.8537380026085172	1.4291959160591081	0.0	0.0	500
primary::KEAP1+STK11+TP53	47	0.7486413154899714	0.5113110190127297	1.0541078495444607	0.0	0.0	500
primary::KRAS+PIK3CA	68	1.0896446102547959	0.8546734450560444	1.4039330049925334	0.0	0.0	500
metastatic::CDKN2A+KRAS+TP53	39	0.6300467086028636	0.437410030539118	0.8602539854541358	0.0	0.0	500
primary::EGFR+PIK3CA	87	1.397606032898157	1.0930919020774996	1.7430776972844186	0.0	0.0	500
metastatic::KEAP1+KRAS+STK11	89	1.4512525929363655	1.091114850192972	1.9081891020573827	0.0	0.0	500
unknown::NF1	15	0.2393538406746562	0.12910929631160123	0.38058805642474886	0.0	0.0	500
primary::KEAP1+KRAS+SMARCA4+STK11	49	0.8067828422004832	0.5575141704287117	1.097745340324564	0.0	0.0	500
metastatic::KRAS+STK11	95	1.581947250809485	1.2681884468475397	1.9633221458990548	0.0	0.0	500
metastatic::EGFR+SETD2+TP53	20	0.3374434560981278	0.19470137264126192	0.4925198475649148	0.0	0.0	500
primary::ATM+KRAS+STK11	68	1.1892386841764573	0.8912747412679566	1.5465528856031112	0.0	0.0	500
metastatic::MET+TP53	64	1.1099222208051267	0.8444398457431646	1.452262500859385	0.0	0.0	500
primary::MET	223	3.936173951109059	3.314576272067122	4.615675358409197	0.0	0.908	500
primary::KRAS+SETD2	53	0.9390726583573428	0.7057401318088343	1.2203229533157747	0.0	0.0	500
metastatic::ATM+KRAS+TP53	28	0.4976678830003226	0.3109896384748273	0.714936603061734	0.0	0.0	500
primary::KRAS+MET	23	0.4262870696134262	0.2681932082410295	0.6196287119970271	0.0	0.0	500
primary::KRAS+SETD2+TP53	27	0.4924394772288278	0.3229428413627459	0.7352742942153624	0.0	0.0	500
unknown::SETD2	4	0.07542619196114027	0.018491973478698104	0.15262378285676456	0.0	0.0	500
metastatic::ATM+TP53	38	0.7116146168611077	0.502572391662094	0.9931729510046559	0.0	0.0	500
metastatic::ARID1A+TP53	38	0.7427696654156057	0.5077669567334966	1.014187858263207	0.0	0.0	500
primary::EGFR+MET	12	0.22398435398171723	0.11161000971951945	0.38709761929379166	0.0	0.0	500
primary::ARID1A+TP53	30	0.5790521591539024	0.3955997416249711	0.8416475201706003	0.0	0.0	500
primary::ATM+TP53	24	0.4723348255372324	0.2944918514410332	0.6743533387124048	0.0	0.0	500
primary::ATM+KEAP1+KRAS+STK11	13	0.26128159608547064	0.12130656853923565	0.41039369753266314	0.0	0.0	500
metastatic::KRAS+RBM10+TP53	37	0.7544743061260476	0.5251291843567352	1.0060857645946502	0.0	0.0	500
metastatic::KEAP1+KRAS+TP53	31	0.6371931476064092	0.42342603604185775	0.9062072837070749	0.0	0.0	500
primary::PIK3CA+TP53	43	0.8875923540779795	0.630428662495819	1.1630962246438135	0.0	0.0	500
metastatic::STK11	36	0.7461954164913587	0.5165503277734057	1.0140813591881148	0.0	0.0	500
primary::KEAP1+KRAS+STK11+TP53	15	0.32140183327936184	0.16276690169626057	0.5178290708208746	0.0	0.0	500
metastatic::ATM+KRAS	61	1.3197292629482953	0.9677430871109525	1.7120755903760396	0.0	0.0	500
primary::SETD2+TP53	25	0.5344772638595192	0.33454348321653643	0.7666549290724739	0.0	0.0	500
