rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
1	primary::NF1+RBM10	primary	NF1+RBM10	2	18	0.0006630322675703551	0.00013827605208820658	2	0.00013827605208820658	0.0	primary::NF1	0.06058113172959074	0.0001071126537137305	rule_a_one_step	True	True	True	stable	True	4.794989824792045	5.854118217430129	2.5494518796684487	True	relative_bottleneck	5.057378495891319	2.7540074639365697	8.156528733224464	0.038	0.914	500
2	metastatic::TP53	metastatic	TP53	1	881	0.03245174598497127	0.007721975192895326	1	0.007721975192895326	0.0	metastatic::WT	0.19519197629117535	0.007721975192895326	rule_a_one_step	True	True	True	stable	True	4.202518807704313	5.1307808379638296	2.3591784019207616	True	relative_bottleneck	4.582434285649589	4.118619688064355	5.131226578172447	0.002	1.0	500
3	unknown::EGFR+RBM10	unknown	EGFR+RBM10	2	24	0.0008840430234271402	0.0002296282844376931	2	0.0002296282844376931	0.0	unknown::EGFR	0.048034202497844805	0.00021409085392070214	rule_a_one_step	True	True	True	stable	True	3.849887315676599	4.700259290067002	2.2327403453382857	True	relative_bottleneck	4.255836429106071	2.564594874430644	5.965685906096533	0.006	0.812	500
4	primary::MET	primary	MET	1	223	0.008214233092677176	0.002281333336819761	1	0.002281333336819761	0.0	primary::WT	0.037741400017052326	0.002281333336819761	rule_a_one_step	True	True	True	stable	True	3.600628174980955	4.395943216472283	2.1361727507450743	True	relative_bottleneck	3.936173951109059	3.314576272067122	4.615675358409197	0.0	0.908	500
5	primary::BRAF	primary	BRAF	1	152	0.0055989391483718875	0.0015766224762406955	1	0.0015766224762406955	0.0	primary::WT	0.026082965865315298	0.0015766224762406955	rule_a_one_step	True	True	True	stable	True	3.551223726158462	4.335626199243493	2.1162403785219612	True	relative_bottleneck	3.85893313853484	3.3056188375065476	4.514859708588371	0.0	0.894	500
6	primary::KRAS	primary	KRAS	1	1461	0.053816119051127154	0.015172952205643232	1	0.015172952205643232	0.0	primary::WT	0.25101481199195763	0.015172952205643232	rule_a_one_step	True	True	True	stable	True	3.5468456183210435	4.33028104486665	2.1144606621061355	True	relative_bottleneck	3.878470838072621	3.551405302946617	4.2945423276904195	0.0	0.948	500
7	primary::MET+RBM10	primary	MET+RBM10	2	24	0.0008840430234271402	0.0002695154653141079	2	0.0002695154653141079	0.0	primary::MET	0.025965255423396817	0.00021328466035868166	rule_a_one_step	True	True	True	stable	True	3.280119822128607	4.004640240693219	2.0016726430633285	True	relative_bottleneck	3.526783754340295	2.2161316820512984	5.3991893965942035	0.0	0.558	500
8	primary::KEAP1+RBM10+STK11	primary	KEAP1+RBM10+STK11	3	14	0.0005156917636658317	0.00017611109601221932	3	0.00017611109601221932	0.0	primary::KEAP1+STK11	0.03815152074635736	0.00010258807331973211	rule_a_one_step	True	True	True	stable	True	2.92821845082284	3.5750100842644565	1.8379473114009022	True	relative_bottleneck	3.1806708098815824	1.612372040041417	5.689986327236386	0.0	0.392	500
9	primary::EGFR	primary	EGFR	1	1292	0.04759098276116104	0.01641159677612231	1	0.01641159677612231	0.0	primary::WT	0.27150641637913986	0.01641159677612231	rule_a_one_step	True	True	True	stable	True	2.8998386572294206	3.5403616965195774	1.8238967589293944	True	relative_bottleneck	3.188450318366349	2.9121132882516347	3.4938871540808742	0.0	0.19	500
10	primary::EGFR+RBM10	primary	EGFR+RBM10	2	212	0.007809046706939738	0.0028298049711157347	2	0.0028298049711157347	0.0	primary::EGFR	0.048034202497844805	0.0022859949030210507	rule_a_one_step	True	True	True	stable	True	2.75957063609978	3.3691109519252413	1.752367940230693	True	relative_bottleneck	3.021539970209915	2.5411478729786436	3.5548498794125583	0.0	0.088	500
