repeat	truth_states_evaluable	spearman_R_star	spearman_R_star_p	spearman_occupancy	spearman_occupancy_p	spearman_gain	kendall_R_star	kendall_R_star_p	kendall_occupancy	kendall_occupancy_p	kendall_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy	median_abs_error_log2_R_star	median_abs_error_log2_occupancy	absolute_error_gain	calibration_slope_R_star	calibration_slope_occupancy	calibration_slope_gain	adjacent_ordered_levels_R_star	adjacent_ordered_levels_occupancy	adjacent_level_comparisons
1	22	0.6991211135477419	0.00029432294406425507	0.5545426612415549	0.007398120524845269	0.14457845230618693	0.5698028822981898	0.0005188000516887741	0.42152091588164103	0.01078653987017838	0.14828196641654873	0.8125	0.7315789473684211	1.0256503454528667	1.2730184944064158	0.24736814895354908	0.5316073136563721	0.47111283610411264	0.06049447755225951	3	2	4
2	23	0.718391987717288	0.00011299461237716011	0.5942901570894561	0.0027866522638833207	0.12410183062783187	0.6016075972786145	0.00016962764409962912	0.45209368791744825	0.0052198958841716235	0.1495139093611662	0.8293838862559242	0.751219512195122	0.7294478771601292	1.624490864907794	0.8950429877476649	0.6012965773300145	0.5331590613359408	0.0681375159940737	4	3	4
3	23	0.8024001575242334	4.107154312804705e-06	0.4510438084048055	0.030759549226524695	0.3513563491194279	0.6420839401393168	6.11562771081417e-05	0.3343769956540213	0.039092343838834406	0.3077069444852955	0.8523809523809524	0.6862745098039216	0.6975172880685829	1.0874628412503395	0.3899455531817566	0.581979249049711	0.4051132121994237	0.1768660368502873	4	1	4
4	20	0.8095025400751895	1.5355945828477477e-05	0.5358311407795516	0.014887062841604017	0.2736713992956379	0.6853981181013675	8.027731259608094e-05	0.4087491063836703	0.019203615912993056	0.27664901171769724	0.8782051282051282	0.7272727272727273	0.8969527670678958	1.0995356735509145	0.2025829064830187	0.8763921537001114	0.5720576937028207	0.3043344599972907	4	2	4
5	22	0.7144401251081101	0.00018744834526331427	0.49520077073160634	0.019113481083129606	0.21923935437650371	0.5823405606637861	0.0004053079350689047	0.37158630983178254	0.025352718790108985	0.2107542508320036	0.8210526315789474	0.7058823529411765	0.7360850435687916	1.1218514637909303	0.3857664202221387	0.696299054013077	0.47021522732129034	0.22608382669178667	4	2	4
6	22	0.7833386734305557	1.6236420577378508e-05	0.6340396477447159	0.0015312180511768587	0.14929902568583986	0.6742667440528579	4.005175839333347e-05	0.4811252243246882	0.003740839788018087	0.19314151972816973	0.8697916666666666	0.7659574468085106	1.0166500654854969	1.1460903757466552	0.12944031026115832	0.6762473920726118	0.5010819235742959	0.17516546849831582	4	2	4
7	20	0.815153370434399	1.1971703200325502e-05	0.5213165691559717	0.018413426602224208	0.29383680127842726	0.6890017654446077	7.176874951640315e-05	0.396860872854721	0.023092238349036055	0.2921408925898867	0.8789808917197452	0.7207792207792207	0.9347857800641222	1.2721602581119054	0.3373744780477832	0.753084697650488	0.48697875442387434	0.2661059432266137	4	3	4
8	22	0.7048894395671127	0.0002491462479549494	0.46256558729852804	0.030185433434276116	0.24232385226858466	0.5698028822981898	0.0005188000516887741	0.3592507805809441	0.02983237987019558	0.21055210171724564	0.8125	0.6984126984126984	0.9607982055055728	1.3921356544722816	0.4313374489667088	0.5225832924802948	0.42466904870554917	0.09791424377474561	4	2	4
9	22	0.7970978418479641	8.960751171595665e-06	0.4320621125431522	0.044636003871521314	0.3650357293048119	0.6587130932098565	6.323012164432596e-05	0.3337190750506054	0.044971607122074625	0.3249940181592511	0.8631578947368421	0.6864864864864865	0.8020552491180748	1.1935115615546237	0.3914563124365489	0.6146776421163531	0.4169012135567691	0.197776428559584	4	2	4
10	23	0.7166089457134663	0.00011968220986962295	0.6157344803680259	0.0017610576841537277	0.10087446534544042	0.5553158401204902	0.0005270040904463384	0.4873768029589261	0.0025914264840516013	0.06793903716156408	0.8047619047619048	0.7681159420289855	0.9264792087133265	1.0	0.07352079128667355	0.6946771938702582	0.5959569552146142	0.09872023865564394	4	3	4
11	23	0.7541855534210966	3.228369755916397e-05	0.67292418670854	0.0004339492789692545	0.08126136671255657	0.6189200461211645	0.00010944653786794992	0.5300241595303926	0.0010371263538649412	0.08889588659077186	0.8388625592417062	0.7922705314009661	0.854753867665933	1.192645077942396	0.33789121027646307	0.7083470844341168	0.5679006451651929	0.14044643926892386	4	3	4
12	22	0.8225632903622772	2.6246994345953645e-06	0.4975034375251959	0.01847710063322367	0.3250598528370813	0.6742667440528579	4.005175839333347e-05	0.3832008326196737	0.020496685533298177	0.2910659114331842	0.8697916666666666	0.7127659574468085	0.9784215357095667	1.053457601958256	0.0750360662486893	0.7178956363715796	0.49158391900672493	0.22631171736485467	3	4	4
13	23	0.629808425528455	0.0012795853968766925	0.5693081045205822	0.004577648870195394	0.060500321007872726	0.5032549801091942	0.0016800220595754247	0.4198188282307086	0.009237075224114396	0.08343615187848563	0.7761904761904762	0.7307692307692307	0.8219292946486552	1.0	0.17807070535134484	0.5287018076239094	0.48107856522807035	0.04762324239583904	4	3	4
14	22	0.802878101759842	6.8870966434840474e-06	0.5150296744724212	0.014173087896053605	0.28784842728742077	0.6682596597781152	4.941066503474539e-05	0.39263065925429996	0.018551670852117477	0.2756290005238152	0.868421052631579	0.7189189189189189	0.8126596956933527	1.257286586414879	0.4446268907215263	0.6800906960840556	0.43986320993141814	0.24022748615263745	4	3	4
15	21	0.7433109750357186	0.00011288078254588556	0.420207956568574	0.05788025885536199	0.3231030184671446	0.6138371415396828	0.0002798627038148236	0.3231269440063301	0.05771227455743165	0.29071019753335275	0.838150289017341	0.6804733727810651	1.0529711126017631	1.2801079191927351	0.22713680659097202	0.7047568371266723	0.43877053840837843	0.2659862987182938	4	3	4
16	22	0.7400762282852748	8.236903541431234e-05	0.5333340328116629	0.010586807816343935	0.20674219547361183	0.5792995970031596	0.00041759884353311324	0.40986827333680664	0.013693517672155405	0.16943132366635294	0.8177083333333334	0.7272727272727273	0.8662490993112046	0.8647930319003043	-0.001456067410900319	0.641456128677123	0.5208148900490167	0.12064123862810627	4	3	4
17	23	0.6974320866028243	0.00021648970405389718	0.6110332661528228	0.001952868097832162	0.08639882045000147	0.5726694601242555	0.000350262515581176	0.4776293545284038	0.0031037209644827813	0.09504010559585163	0.8142857142857143	0.7658536585365854	0.8760578525159828	1.415037499278844	0.5389796467628611	0.6265410979634722	0.5989490745358585	0.027592023427613688	4	3	4
18	22	0.7781471800131221	2.0098786476009213e-05	0.5724145534800728	0.005370169001504586	0.20573262653304936	0.6362798852329786	0.00010627914016456714	0.44927247882985016	0.006495133962510195	0.18700740640312846	0.8489583333333334	0.7473684210526316	0.9522261179577012	1.4239984532774748	0.4717723353197736	0.7487312102062045	0.4947922510162246	0.2539389591899799	4	4	4
19	21	0.8463639277463952	1.3277804879601024e-06	0.5304085177855766	0.013378380537490683	0.3159554099608186	0.6977806822630582	3.625800432688148e-05	0.4121794908124294	0.015305652127453202	0.28560119145062884	0.884393063583815	0.7267441860465116	0.9134795786370857	0.8365012677171206	-0.0769783109199651	0.7571027723377556	0.49697252063448516	0.2601302517032704	4	2	4
20	21	0.7133292226583476	0.0002831229372730782	0.6016691450387432	0.003908607916401847	0.11166007761960439	0.5545255915073376	0.0010091098866885724	0.447877379838231	0.008296919914559968	0.1066482116691066	0.8045977011494253	0.7485380116959064	1.0169100297819886	1.0995356735509143	0.08262564376892567	0.6558969343297971	0.5008921190372833	0.15500481529251386	3	4	4
21	20	0.7701838452715374	7.118407785514573e-05	0.35091638229153954	0.1292624456604074	0.41926746297999784	0.638930449077546	0.00023672470720816484	0.27371881847738977	0.11607468518795716	0.36521163060015627	0.8525641025641025	0.6516129032258065	0.7341090696441647	1.0963225389711981	0.36221346932703347	0.7376161884798709	0.38848978352148045	0.3491264049583904	4	2	4
22	21	0.7466352638328373	0.00010116897212550586	0.5891258245294481	0.004952579226385951	0.15750943930338923	0.6138371415396828	0.0002798627038148236	0.4749183345282471	0.0055503529035711135	0.13891880701143572	0.838150289017341	0.7664670658682635	0.8031196183077249	1.5145731728297582	0.7114535545220333	0.77566027020489	0.4641287962103977	0.3115314739944923	4	3	4
23	23	0.7864501760273467	8.602570928883744e-06	0.5944165338549082	0.00277938271748147	0.19203364217243846	0.6362324949637146	6.983474230491221e-05	0.4606040760533769	0.004112368389129372	0.1756284189103377	0.8483412322274881	0.7523809523809524	0.7784692963736499	1.5145731728297582	0.7361038764561083	0.6543612147424234	0.5615271125781285	0.09283410216429488	4	3	4
