mask	state	genotype	event_count	pilot_count	D_true	log2_D_true	truth_level
1024	s1::E11	E11	1	414	4.0	2.0	D=4
512	s1::E10	E10	1	309	0.5	-1.0	D=0.5
16384	s1::E15	E15	1	290	1.0	0.0	D=1
2	s1::E2	E2	1	282	2.0	1.0	D=2
8	s1::E4	E4	1	278	0.25	-2.0	D=0.25
4	s1::E3	E3	1	263	0.5	-1.0	D=0.5
64	s1::E7	E7	1	239	1.0	0.0	D=1
4096	s1::E13	E13	1	236	0.25	-2.0	D=0.25
520	s1::E10+E4	E10+E4	2	119	2.0	1.0	D=2
1028	s1::E11+E3	E11+E3	2	119	4.0	2.0	D=4
72	s1::E4+E7	E4+E7	2	93	1.0	0.0	D=1
1088	s1::E11+E7	E11+E7	2	83	0.5	-1.0	D=0.5
544	s1::E10+E6	E10+E6	2	82	4.0	2.0	D=4
1096	s1::E11+E4+E7	E11+E4+E7	3	81	2.0	1.0	D=2
1032	s1::E11+E4	E11+E4	2	80	0.25	-2.0	D=0.25
68	s1::E3+E7	E3+E7	2	67	4.0	2.0	D=4
17408	s1::E11+E15	E11+E15	2	67	2.0	1.0	D=2
8200	s1::E14+E4	E14+E4	2	64	1.0	0.0	D=1
1100	s1::E11+E3+E4+E7	E11+E3+E4+E7	4	64	0.5	-1.0	D=0.5
136	s1::E4+E8	E4+E8	2	63	0.25	-2.0	D=0.25
1060	s1::E11+E3+E6	E11+E3+E6	3	63	4.0	2.0	D=4
36	s1::E3+E6	E3+E6	2	61	0.25	-2.0	D=0.25
1152	s1::E11+E8	E11+E8	2	61	1.0	0.0	D=1
584	s1::E10+E4+E7	E10+E4+E7	3	60	0.5	-1.0	D=0.5
1092	s1::E11+E3+E7	E11+E3+E7	3	51	2.0	1.0	D=2
