condition	topology	sparsity	placement	repeat	truth_states_evaluable	truth_states_implanted	evaluable_fraction	spearman_R_star	spearman_occupancy	spearman_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy
linear|s=0.05|early	linear	0.05	early	1	9	10	0.9	0.9831920802501751	0.9492889050691345	0.03390317518104058	1.0	0.96875
linear|s=0.05|early	linear	0.05	early	2	10	10	1.0	0.9847319278346618	0.95068973677523	0.03404219105943174	1.0	0.9743589743589743
linear|s=0.05|early	linear	0.05	early	3	10	10	1.0	0.9847319278346618	0.9354953314429287	0.049236596391733056	1.0	0.95
linear|s=0.05|early	linear	0.05	early	4	10	10	1.0	0.9847319278346618	0.9877295966495897	-0.002997668814927912	1.0	1.0
linear|s=0.05|early	linear	0.05	early	5	8	10	0.8	0.9759000729485332	0.8783100656536799	0.09759000729485334	1.0	0.9166666666666666
linear|s=0.05|early	linear	0.05	early	6	10	10	1.0	0.9847319278346618	0.941217068774333	0.043514859060328814	1.0	0.95
linear|s=0.05|early	linear	0.05	early	7	10	10	1.0	0.9601136296387952	0.95068973677523	0.009423892863565153	0.975	0.9743589743589743
linear|s=0.05|early	linear	0.05	early	8	10	10	1.0	0.9601136296387952	0.9601136296387952	0.0	0.975	0.975
linear|s=0.05|early	linear	0.05	early	9	10	10	1.0	0.9847319278346618	0.9753829766914697	0.009348951143192119	1.0	1.0
linear|s=0.05|early	linear	0.05	early	10	10	10	1.0	0.9601136296387952	0.9354953314429287	0.024618298195866473	0.975	0.95
linear|s=0.05|middle	linear	0.05	middle	1	7	10	0.7	0.8260009854911466	0.8260009854911466	0.0	0.8888888888888888	0.8888888888888888
linear|s=0.05|middle	linear	0.05	middle	2	8	10	0.8	0.9271050693011065	0.8395701571521512	0.08753491214895526	0.9583333333333334	0.875
linear|s=0.05|middle	linear	0.05	middle	3	9	10	0.9	0.8814825547070536	0.8511331870602444	0.030349367646809178	0.90625	0.9032258064516129
linear|s=0.05|middle	linear	0.05	middle	4	8	10	0.8	0.9819805060619657	0.8415259932542926	0.14045451280767318	1.0	0.875
linear|s=0.05|middle	linear	0.05	middle	5	6	10	0.6	0.7171371656006363	0.35856858280031817	0.35856858280031817	0.8333333333333334	0.6666666666666666
linear|s=0.05|middle	linear	0.05	middle	6	9	10	0.9	0.9153857298880941	0.9362465057662689	-0.02086077587817481	0.9375	0.967741935483871
linear|s=0.05|middle	linear	0.05	middle	7	8	10	0.8	0.9092412093166349	0.872016065473651	0.03722514384298392	0.92	0.9166666666666666
linear|s=0.05|middle	linear	0.05	middle	8	8	10	0.8	0.9819805060619657	0.9756823110194697	0.006298195042496069	1.0	1.0
linear|s=0.05|middle	linear	0.05	middle	9	9	10	0.9	0.9492889050691345	0.8809228486073529	0.06836605646178162	0.96875	0.9032258064516129
linear|s=0.05|middle	linear	0.05	middle	10	8	10	0.8	0.8783100656536799	0.9877295966495896	-0.10941953099590973	0.9166666666666666	1.0
linear|s=0.05|late	linear	0.05	late	1	4	10	0.4	0.0	-0.23570226039551587	0.23570226039551587	0.5	0.3333333333333333
linear|s=0.05|late	linear	0.05	late	2	6	10	0.6	0.4780914437337575	0.5457051563317492	-0.0676137125979917	0.6666666666666666	0.7272727272727273
linear|s=0.05|late	linear	0.05	late	3	4	10	0.4	0.0	0.0	0.0	0.5	0.5
linear|s=0.05|late	linear	0.05	late	4	7	10	0.7	0.7525786756697113	0.7290038003196577	0.023574875350053537	0.8333333333333334	0.875
linear|s=0.05|late	linear	0.05	late	5	6	10	0.6	0.5590653920196746	0.6179143806533246	-0.05884898863364996	0.6923076923076923	0.7692307692307693
linear|s=0.05|late	linear	0.05	late	6	4	10	0.4	0.4472135954999579	0.4472135954999579	0.0	0.75	0.75
linear|s=0.05|late	linear	0.05	late	7	5	10	0.5	0.31622776601683794	0.31622776601683794	0.0	0.625	0.625
linear|s=0.05|late	linear	0.05	late	8	5	10	0.5	0.7378647873726218	0.8651809126974003	-0.12731612532477843	0.875	1.0
linear|s=0.05|late	linear	0.05	late	9	5	10	0.5	0.6324555320336759	0.40555355282690636	0.22690197920676952	0.75	0.7142857142857143
linear|s=0.05|late	linear	0.05	late	10	5	10	0.5	0.5270462766947298	0.21629522817435007	0.3107510485203797	0.75	0.5714285714285714
linear|s=0.10|early	linear	0.1	early	1	10	10	1.0	0.9847319278346618	0.9847319278346618	0.0	1.0	1.0
linear|s=0.10|early	linear	0.1	early	2	10	10	1.0	0.9847319278346618	0.9630363567333498	0.02169557110131204	1.0	0.975
linear|s=0.10|early	linear	0.1	early	3	10	10	1.0	0.9354953314429287	0.9108770332470622	0.024618298195866584	0.95	0.925
linear|s=0.10|early	linear	0.1	early	4	10	10	1.0	0.9601136296387952	0.8272235371940313	0.1328900924447639	0.975	0.8717948717948718
linear|s=0.10|early	linear	0.1	early	5	10	10	1.0	0.9847319278346618	0.95068973677523	0.03404219105943174	1.0	0.9743589743589743
linear|s=0.10|early	linear	0.1	early	6	10	10	1.0	0.9847319278346618	0.9877295966495897	-0.002997668814927912	1.0	1.0
linear|s=0.10|early	linear	0.1	early	7	10	10	1.0	0.9847319278346618	0.9601136296387952	0.024618298195866584	1.0	0.975
linear|s=0.10|early	linear	0.1	early	8	10	10	1.0	0.9601136296387952	0.9013032569427505	0.05881037269604472	0.975	0.9230769230769231
linear|s=0.10|early	linear	0.1	early	9	9	10	0.9	0.9831920802501751	0.9532691695074738	0.02992291074270137	1.0	0.96875
linear|s=0.10|early	linear	0.1	early	10	10	10	1.0	0.9601136296387952	0.9847319278346618	-0.024618298195866584	0.975	1.0
linear|s=0.10|middle	linear	0.1	middle	1	8	10	0.8	0.9759000729485332	0.8835852486128688	0.0923148243356644	1.0	0.9166666666666666
linear|s=0.10|middle	linear	0.1	middle	2	9	10	0.9	0.8814825547070536	0.9313390497461603	-0.04985649503910672	0.90625	0.9666666666666667
linear|s=0.10|middle	linear	0.1	middle	3	9	10	0.9	0.9831920802501751	0.8383661892543407	0.14482589099583443	1.0	0.8709677419354839
linear|s=0.10|middle	linear	0.1	middle	4	7	10	0.7	0.8994232953125818	0.9728456051340169	-0.07342230982143505	0.9444444444444444	1.0
linear|s=0.10|middle	linear	0.1	middle	5	9	10	0.9	0.9831920802501751	0.8391035857307529	0.14408849451942218	1.0	0.875
linear|s=0.10|middle	linear	0.1	middle	6	8	10	0.8	0.8849947770681914	0.9756823110194697	-0.09068753395127827	0.92	1.0
linear|s=0.10|middle	linear	0.1	middle	7	9	10	0.9	0.8645309671165332	0.9359316220584212	-0.07140065494188796	0.90625	0.9666666666666667
linear|s=0.10|middle	linear	0.1	middle	8	9	10	0.9	0.9831920802501751	0.9786682258053809	0.004523854444794195	1.0	1.0
linear|s=0.10|middle	linear	0.1	middle	9	7	10	0.7	0.8365019125713041	0.8001322641986389	0.03636964837266521	0.8947368421052632	0.8421052631578947
linear|s=0.10|middle	linear	0.1	middle	10	8	10	0.8	0.8849947770681914	0.9819805060619657	-0.09698572899377433	0.92	1.0
linear|s=0.10|late	linear	0.1	late	1	6	10	0.6	0.35856858280031817	0.6154574548966636	-0.2568888720963454	0.6666666666666666	0.8
linear|s=0.10|late	linear	0.1	late	2	5	10	0.5	0.5270462766947298	0.9486832980505137	-0.42163702135578385	0.75	1.0
linear|s=0.10|late	linear	0.1	late	3	6	10	0.6	0.6473388749701496	0.909090909090909	-0.2617520341207593	0.7692307692307693	1.0
linear|s=0.10|late	linear	0.1	late	4	5	10	0.5	0.5270462766947298	0.5797509043642028	-0.052704627669473036	0.75	0.75
linear|s=0.10|late	linear	0.1	late	5	7	10	0.7	0.8260009854911466	0.7130852445800123	0.11291574091113432	0.8888888888888888	0.8235294117647058
linear|s=0.10|late	linear	0.1	late	6	7	10	0.7	0.7525786756697113	0.7383500028878585	0.014228672781852802	0.8333333333333334	0.875
linear|s=0.10|late	linear	0.1	late	7	7	10	0.7	0.8260009854911466	0.8242154125665077	0.0017855729246389895	0.8888888888888888	0.8823529411764706
linear|s=0.10|late	linear	0.1	late	8	7	10	0.7	0.7525786756697113	0.9177788727679405	-0.1652001970982292	0.8333333333333334	0.9444444444444444
linear|s=0.10|late	linear	0.1	late	9	5	10	0.5	-0.05270462766947299	0.675922588044844	-0.728627215714317	0.5	0.8571428571428571
linear|s=0.10|late	linear	0.1	late	10	5	10	0.5	0.8720815992723809	0.9473684210526317	-0.07528682178025081	0.8888888888888888	1.0
linear|s=0.20|early	linear	0.2	early	1	10	10	1.0	0.8862587350511957	0.8421415878507189	0.04411714720047677	0.9	0.8947368421052632
linear|s=0.20|early	linear	0.2	early	2	10	10	1.0	0.9601136296387952	0.7877855422677295	0.17232808737106575	0.975	0.85
