topology	sparsity	placement	repeats	median_evaluable_states	median_evaluable_fraction	minimum_evaluable_fraction	median_spearman_R_star	q1_spearman_R_star	q3_spearman_R_star	median_spearman_occupancy	median_spearman_gain	median_concordance_R_star	median_concordance_occupancy
branching	0.05	early	10	10.0	1.0	0.9	0.9716528549444852	0.9601136296387952	0.9847319278346618	0.9430550632488928	0.01571578400747553	0.9875	0.9618589743589743
branching	0.05	late	10	6.0	0.6	0.5	0.9009968166192192	0.8178903382007223	0.9673019562082972	0.8837921926514165	0.02384732469831008	0.9615384615384616	0.9411764705882353
branching	0.05	middle	10	9.0	0.9	0.7	0.8994232953125818	0.8853914143283935	0.9153857298880941	0.8470632390021261	0.05918862253812751	0.9375	0.8775
branching	0.1	early	10	10.0	1.0	1.0	0.9601136296387952	0.9354953314429287	0.9847319278346618	0.8124038404635959	0.1230914909793327	0.975	0.85
branching	0.1	late	10	7.0	0.7	0.6	0.8720973475544589	0.8260009854911466	0.8988469697825396	0.8629195588267795	-0.0052348547541813395	0.8975694444444444	0.8975694444444444
branching	0.1	middle	10	9.0	0.9	0.8	0.9280994205809843	0.9120042074073201	0.9692472809786835	0.8281490297673072	0.10239806645940852	0.9375	0.872983870967742
branching	0.2	early	10	10.0	1.0	1.0	0.9847319278346618	0.9662682041877618	0.9847319278346618	0.9184367650530262	0.053986013683702316	1.0	0.9368589743589744
branching	0.2	late	10	7.0	0.7	0.5	0.8373130570933363	0.7197011160638043	0.9368225026299963	0.5858701488297153	0.24161494879299775	0.8844444444444444	0.6944444444444444
branching	0.2	middle	10	8.5	0.8500000000000001	0.6	0.9212453995946003	0.8833410848146533	0.9544593918679198	0.9136765626608118	0.009487893002273484	0.9479166666666667	0.9504830917874396
linear	0.05	early	10	10.0	1.0	0.8	0.9839620040424184	0.9640602404662297	0.9847319278346618	0.9499893209221824	0.029260736688453526	1.0	0.9715544871794872
linear	0.05	late	10	5.0	0.5	0.4	0.5025688602142436	0.34897422338761797	0.6141079970301756	0.42638357416343214	0.0	0.7211538461538461	0.7207792207792207
linear	0.05	middle	10	8.0	0.8	0.6	0.9123134696023645	0.8791031879170232	0.9437429461271275	0.8615746262669477	0.03378725574489655	0.92875	0.9032258064516129
linear	0.1	early	10	10.0	1.0	0.9	0.9839620040424184	0.9601136296387952	0.9847319278346618	0.9566913995731345	0.024618298195866584	1.0	0.9746794871794872
linear	0.1	late	10	6.0	0.6	0.5	0.6999587753199304	0.5270462766947298	0.8076454080357878	0.7812827077271831	-0.12024350943924	0.8012820512820513	0.8786764705882353
linear	0.1	middle	10	8.5	0.8500000000000001	0.7	0.8922090361903866	0.882360610297338	0.9813690784247646	0.9336353359022908	-0.02266632029715626	0.9322222222222223	0.9666666666666667
linear	0.2	early	10	10.0	1.0	0.9	0.947804480540862	0.9354953314429287	0.9601136296387952	0.8272727141571574	0.10333502265599526	0.9624999999999999	0.8848684210526316
linear	0.2	late	10	9.0	0.9	0.7	0.8385472207661332	0.8136762043449725	0.8706273941217632	0.7953461825776937	0.03528160935779906	0.875	0.8387096774193549
linear	0.2	middle	10	9.0	0.9	0.8	0.8984341422975738	0.8899583485023137	0.9450510081715044	0.818026688409607	0.08052004105497129	0.921875	0.875
mixed	0.05	early	10	10.0	1.0	1.0	0.9601136296387952	0.9354953314429287	0.9847319278346618	0.8248287172773778	0.12907413152217084	0.975	0.8818433818433818
mixed	0.05	late	10	8.0	0.8	0.7	0.8427851176637633	0.7929188092706834	0.8744105843407259	0.9127696057993402	-0.09759000729485318	0.8819444444444444	0.9375
mixed	0.05	middle	10	9.0	0.9	0.9	0.9354953314429287	0.8899583485023137	0.95740744849638	0.7325564675620702	0.22096766121978118	0.95	0.8125
mixed	0.1	early	10	10.0	1.0	0.9	0.9831920802501751	0.9474195186447403	0.9847319278346618	0.8012937588916338	0.1575083906406305	1.0	0.8733974358974359
mixed	0.1	late	10	7.0	0.7	0.6	0.8009434087206709	0.7305864374817448	0.956296065296812	0.8478506202316268	0.007854197280465658	0.8644444444444443	0.9166666666666666
mixed	0.1	middle	10	9.0	0.9	0.8	0.9344914865040037	0.8971179931924131	0.9577646988643947	0.9213516749927146	0.034231883791016104	0.96	0.947741935483871
mixed	0.2	early	10	10.0	1.0	0.9	0.9839620040424184	0.9583519315579949	0.9847319278346618	0.9245726041718996	0.049236596391733056	1.0	0.9375
mixed	0.2	late	10	7.0	0.7	0.5	0.8449851808610002	0.7758430436043263	0.9201846258039753	0.9234927446373424	-0.033575290551392745	0.9198717948717949	0.9705882352941176
mixed	0.2	middle	10	8.0	0.8	0.7	0.905150164279822	0.8802972330030588	0.9637013220366766	0.8927382966694258	0.0415721355473872	0.9347222222222222	0.9416666666666667
mutual_exclusivity	0.05	early	10	10.0	1.0	0.9	0.9831920802501751	0.9658832422916401	0.9843469659385401	0.8748192027542515	0.10837287749592361	1.0	0.9016129032258065
mutual_exclusivity	0.05	late	10	6.0	0.6	0.5	0.8351787742188259	0.7207763112382499	0.9486832980505137	0.8305445321348213	-0.01930242070593935	0.8888888888888888	0.9117647058823529
mutual_exclusivity	0.05	middle	10	8.0	0.8	0.7	0.9212453995946003	0.8732540491655454	0.9614104711757893	0.9037762893045707	-0.007186230379584879	0.9513888888888888	0.9504830917874396
mutual_exclusivity	0.1	early	10	10.0	1.0	0.9	0.9724227787367286	0.9416499059918954	0.9847319278346618	0.8247129895615293	0.12679172418607704	0.9875	0.8625
mutual_exclusivity	0.1	late	10	6.0	0.6	0.5	0.7336663921645348	0.6522256384414498	0.9135466922118223	0.9241057832648932	-0.07146490049850018	0.8263888888888888	1.0
