condition	topology	sparsity	mask	genotype	event_count	pilot_count	D_true	log2_D_true	placement	state
linear|s=0.05|early	linear	0.05	128	E8	1	308	4.0	2.0	early	s1::E8
linear|s=0.05|early	linear	0.05	256	E9	1	154	2.0	1.0	early	s1::E9
linear|s=0.05|early	linear	0.05	1	E1	1	133	0.5	-1.0	early	s1::E1
linear|s=0.05|early	linear	0.05	16	E5	1	132	0.5	-1.0	early	s1::E5
linear|s=0.05|early	linear	0.05	32	E6	1	122	1.0	0.0	early	s1::E6
linear|s=0.05|early	linear	0.05	8	E4	1	116	4.0	2.0	early	s1::E4
linear|s=0.05|early	linear	0.05	2	E2	1	112	2.0	1.0	early	s1::E2
linear|s=0.05|early	linear	0.05	4	E3	1	86	0.25	-2.0	early	s1::E3
linear|s=0.05|early	linear	0.05	1024	E11	1	83	1.0	0.0	early	s1::E11
linear|s=0.05|early	linear	0.05	2048	E12	1	82	0.25	-2.0	early	s1::E12
linear|s=0.05|middle	linear	0.05	384	E8+E9	2	75	2.0	1.0	middle	s1::E8+E9
linear|s=0.05|middle	linear	0.05	144	E5+E8	2	70	1.0	0.0	middle	s1::E5+E8
linear|s=0.05|middle	linear	0.05	160	E6+E8	2	60	0.25	-2.0	middle	s1::E6+E8
linear|s=0.05|middle	linear	0.05	129	E1+E8	2	57	2.0	1.0	middle	s1::E1+E8
linear|s=0.05|middle	linear	0.05	1152	E11+E8	2	56	0.5	-1.0	middle	s1::E11+E8
linear|s=0.05|middle	linear	0.05	3	E1+E2	2	51	0.25	-2.0	middle	s1::E1+E2
linear|s=0.05|middle	linear	0.05	132	E3+E8	2	45	1.0	0.0	middle	s1::E3+E8
linear|s=0.05|middle	linear	0.05	260	E3+E9	2	45	0.5	-1.0	middle	s1::E3+E9
linear|s=0.05|middle	linear	0.05	2050	E12+E2	2	45	4.0	2.0	middle	s1::E12+E2
linear|s=0.05|middle	linear	0.05	136	E4+E8	2	40	4.0	2.0	middle	s1::E4+E8
linear|s=0.05|late	linear	0.05	152	E4+E5+E8	3	39	1.0	0.0	late	s1::E4+E5+E8
linear|s=0.05|late	linear	0.05	137	E1+E4+E8	3	34	0.25	-2.0	late	s1::E1+E4+E8
linear|s=0.05|late	linear	0.05	153	E1+E4+E5+E8	4	32	2.0	1.0	late	s1::E1+E4+E5+E8
linear|s=0.05|late	linear	0.05	15	E1+E2+E3+E4	4	30	0.5	-1.0	late	s1::E1+E2+E3+E4
linear|s=0.05|late	linear	0.05	262	E2+E3+E9	3	30	0.5	-1.0	late	s1::E2+E3+E9
linear|s=0.05|late	linear	0.05	176	E5+E6+E8	3	29	2.0	1.0	late	s1::E5+E6+E8
linear|s=0.05|late	linear	0.05	385	E1+E8+E9	3	28	1.0	0.0	late	s1::E1+E8+E9
linear|s=0.05|late	linear	0.05	27	E1+E2+E4+E5	4	27	4.0	2.0	late	s1::E1+E2+E4+E5
linear|s=0.05|late	linear	0.05	141	E1+E3+E4+E8	4	27	0.25	-2.0	late	s1::E1+E3+E4+E8
linear|s=0.05|late	linear	0.05	416	E6+E8+E9	3	27	4.0	2.0	late	s1::E6+E8+E9
linear|s=0.10|early	linear	0.1	1	E1	1	196	4.0	2.0	early	s1::E1
linear|s=0.10|early	linear	0.1	8	E4	1	186	1.0	0.0	early	s1::E4
linear|s=0.10|early	linear	0.1	2048	E12	1	144	2.0	1.0	early	s1::E12
linear|s=0.10|early	linear	0.1	256	E9	1	138	0.25	-2.0	early	s1::E9
linear|s=0.10|early	linear	0.1	16	E5	1	136	0.5	-1.0	early	s1::E5
linear|s=0.10|early	linear	0.1	64	E7	1	124	0.5	-1.0	early	s1::E7
linear|s=0.10|early	linear	0.1	512	E10	1	114	2.0	1.0	early	s1::E10
linear|s=0.10|early	linear	0.1	128	E8	1	104	1.0	0.0	early	s1::E8
linear|s=0.10|early	linear	0.1	4	E3	1	100	4.0	2.0	early	s1::E3
linear|s=0.10|early	linear	0.1	1024	E11	1	95	0.25	-2.0	early	s1::E11
linear|s=0.10|middle	linear	0.1	24	E4+E5	2	87	0.25	-2.0	middle	s1::E4+E5
linear|s=0.10|middle	linear	0.1	9	E1+E4	2	55	0.5	-1.0	middle	s1::E1+E4
linear|s=0.10|middle	linear	0.1	264	E4+E9	2	54	4.0	2.0	middle	s1::E4+E9
